id,name<jpn>,type,context,area,level,ratio,hp,stamina,speed,atk,def,distance,attackTypes[],sound,defeatedEventRatio,defeatedSpeak,defeatedEvent,fg,fgType,fgPosition
enemy00,スーツ姿の感染者,default,enemy,-,1,0.3,15,0,1,25,2,1,EnemyAttack/EnemyAttackWait,enemy00,0.5,itemDropEnemy,itemGetMaterial00,-,-,-
enemy01,片腕の感染者,default,enemy,-,1,0.3,20,0,1,25,0,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetAmmo00,-,-,-
enemy02,白目をむいた感染者,default,enemy,-,1,0.3,15,0,2,15,2,1,EnemyAttack/EnemyAttackWait,enemy00,0.5,itemDropEnemy,itemGetFood00,-,-,-
enemy03,焼けただれた感染者,default,enemy,-,5,0.3,20,0,1,30,0,1,EnemyAttack,enemy00,0,-,-,-,-,-
enemy04,猫背の感染者,default,enemy,-,5,0.3,25,0,2,20,0,1,EnemyAttack,enemy00,0,-,-,-,-,-
enemy05,老いた感染者,default,enemy,-,5,0.3,30,0,1,15,0,1,EnemyAttack/EnemyAttackWait,enemy00,0,-,-,-,-,-
enemy06,巨体の感染者,default,enemy,-,10,0.4,35,0,1,20,3,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGet00,-,-,-
enemy07,バールを持った感染者,default,enemy,-,10,0.4,35,0,1,25,0,1,EnemyAttack,enemy00,0.8,itemDropEnemy,itemGetIdHammer03,-,-,-
enemy08,片腕が肥大化した感染者,default,enemy,-,15,0.4,40,0,1,30,1,1,EnemyAttack/EnemyAttackWait,enemy00,0,-,-,-,-,-
enemy09,肩からパイプが飛び出した感染者,default,enemy,-,18,0.4,45,0,2,10,0,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetIdHammer02,-,-,-
enemy10,全身を蔓に覆われた感染者,default,enemy,-,20,0.4,50,0,1,15,0,1,EnemyAttack/EnemyAttackWait/EnemyAttackSmashCharge,enemy00,0,-,-,-,-,-
enemy11,硬い爪の伸びた感染者,default,enemy,-,25,0.5,60,0,2,10,0,1,EnemyAttack/EnemyAttackWait,enemy00,0,-,-,-,-,-
enemy12,頭からCDが飛び出た感染者,default,enemy,-,28,0.5,65,0,1,15,1,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetAmmo00,-,-,-
enemy13,腕が木の根のようになった感染者,default,enemy,-,30,0.5,65,0,1,15,0,1,EnemyAttack,enemy00,0,-,-,-,-,-
enemy14,両目から鱗粉の流れる感染者,default,enemy,-,35,0.5,70,0,1,12,2,1,EnemyAttack/EnemyAttackWait,enemy00,0.5,itemDropEnemy,itemGetFood00,-,-,-
enemy15,腹に大穴があいた感染者,default,enemy,-,40,0.5,70,0,1,15,1,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetGun01,-,-,-
enemy16,口から綿毛を吐く感染者,default,enemy,-,45,0.5,80,0,1,20,0,1,EnemyAttack/EnemyAttackWait,enemy00,0.5,itemDropEnemy,itemGet00,-,-,-
-,,,,,,,,,,,,,,,,,,,,
enemy50,右半身の腐った感染者,default,enemy,endless,1,0.1,20,0,1,20,2,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetAmmo00,-,-,-
enemy51,緑の作業服の感染者,default,enemy,endless,1,0.1,30,0,1,15,0,1,EnemyAttack/EnemyAttackWait,enemy00,1,itemDropEnemy,itemGetFood00,-,-,-
enemy52,ヘルメットを被った感染者,default,enemy,endless,1,0.1,25,0,2,10,0,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetGun01,-,-,-
enemy53,四つん這いの感染者,default,enemy,endless,5,0.1,30,0,1,15,5,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetAmmo00,-,-,-
enemy54,顎から上がない感染者,default,enemy,endless,5,0.1,35,0,1,25,2,1,EnemyAttack/EnemyAttackWait,enemy00,0.5,itemDropEnemy,itemGetAmmo00,-,-,-
enemy55,口から砂を吐き続ける感染者,default,enemy,endless,10,0.1,40,0,1,25,0,1,EnemyAttack,enemy00,0,-,-,-,-,-
enemy56,胸から水晶の生えた感染者,default,enemy,endless,15,0.1,40,0,2,25,0,1,EnemyAttack/EnemyAttackWait,enemy00,0.5,itemDropEnemy,itemGetBox00,-,-,-
enemy57,無数のケーブルが生えた感染者,default,enemy,endless,20,0.1,50,0,1,30,3,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetBox00,-,-,-
enemy58,身体が葉で覆われた感染者,default,enemy,endless,25,0.1,60,0,1,30,0,1,EnemyAttack/EnemyAttackWait/EnemyAttackSmashCharge,enemy00,0.5,itemDropEnemy,itemGet00,-,-,-
enemy59,全身から淡い光が漏れる感染者,default,enemy,endless,30,0.1,70,0,1,35,2,1,EnemyAttack/EnemyAttackWait,enemy00,0,-,-,-,-,-
-,,,,,,,,,,,,,,,,,,,,
enemyBoss00,両腕が岩のようになった感染者,boss,enemy,-,8,0.5,50,0,1,15,1,1,EnemyAttack/EnemyAttackWait/EnemyAttackSmashCharge,enemy02,1.0,itemDropEnemy,itemGetBox00,-,-,-
enemyBoss01,巨大な花の生えた感染者,boss,enemy,-,12,0.5,150,0,1,15,1,1,EnemyAttack/EnemyAttackSmashCharge/EnemyAttackWait,enemy02,1.0,itemDropEnemy,itemGetIdBag00,-,-,-
enemyBoss02,全身から針のような毛の生えた感染者,boss,enemy,-,20,0.5,100,0,1,16,3,1,EnemyAttack/EnemyAttackSmashCharge/EnemyAttackWait,enemy02,1.0,itemDropEnemy,itemGetIdBag00,-,-,-
enemyBoss03,身体が青白く点滅している感染者,boss,enemy,-,30,0.5,160,0,1,18,3,1,EnemyAttack/EnemyAttackSmashCharge/EnemyAttackWait,enemy02,1.0,itemDropEnemy,itemGetBox00,-,-,-
-,,,,,,,,,,,,,,,,,,,,
enemyBoss50,頭からアンテナの生えた感染者,boss,enemy,endless,10,1,160,0,2,15,1,1,EnemyAttack/EnemyAttackSmashCharge/EnemyAttackWait,enemy02,1.0,itemDropEnemy,itemGetIdCoin00,-,-,-
