id,type,arg0,fgType,natsuno<jpn>,kiko<jpn>,shino<jpn>,akane<jpn>,minamo<jpn>,itsuka<jpn>,hinase<jpn>
talk00,talk,-,-,{0},{0},{0},{0},{0},{0},{0}
timeElapsed00,timeElapsed,-,-,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................
ok00,ok,-,smile,おっけー,はい！,りょーかい！,おっけーい,ん。おっけ,......わかった,わかりました！
ok01,ok,-,smile,ん。おっけ,はい......,あいよ！,りょーかい,りょーかい,了解,ええ。わかった
ok02,ok,-,smile,わかった,わかりました！,わかった！,んー。わかったー,わかった......,うん。わかった,はい
find_move00,find_move,-,default,{0}を見つけた。行ってみるね......,{0}があります......。そっち行きますね......,{0}を見つけたよ！　行ってみる！,{0}があるね。そっち行こーっと,{0}があるね。そっち行こうっと,{0}を見つけた。行ってみる,{0}を見つけました。行ってみましょう
find_move01,find_move,-,default,{0}があるね。そっち行ってみる......,{0}、見つけました......怖いけど、行ってみます......,{0}、見つけた。行ってみよ～,{0}、みーっけ。行ってみるー,{0}、見つけた。行ってみるよ,{0}がある......。そっち行ってみる,{0}がありますね。そっちに......
find_move02,find_move,-,default,{0}、だね。行ってみよ,{0}がありますね......。行ってみます......,{0}、だね、そっち行ってみる！,{0}、見つけた。何があるかなー,{0}、発見。なんかあるといいな......,{0}、だ。行ってみる,{0}、ですね。行ってみましょうか
pre_move00,pre_move,-,default,{0}の方に行ってみる......,{0}の方、行ってみます......,{0}に向かうね！,{0}の方、行ってみるー,{0}の方、いくよ,{0}の方、行ってみる,{0}の方に行ってみます......
pre_move01,pre_move,-,default,{0}に向かうよ......,{0}に、向かいます......,{0}だね。行く！,{0}、かー。行ってみる,{0}......行こうか,{0}に向かうよ,{0}に向かいます......
pre_move02,pre_move,-,default,{0}の方、行こっか,{0}、ですね......行きます......,{0}の方、行くよ,{0}の方、向かうよー,{0}、ね。よし、いく,{0}の方、行こう,{0}の方、行きましょう
pre_moveFollowRequest00,pre_moveFollowRequest,-,default,ね、いこ,あの......行きましょう......？,ほら、いこ！,いくよー？,ね。いこうよ,ねぇ。行こうか,ねぇ。行きましょうよ？
pre_moveFollowRequest01,pre_moveFollowRequest,-,default,ほら、いこ？,......い、行きません？,ねー、行こうよー,ねー、いこー？,......行ってもいい？,ほら、早く行こう,ねぇ、ほら、行きません？
pre_moveFollowRequest02,pre_moveFollowRequest,-,default,......行かない？,い、行ってもいいですか......？,待ってるよー？,ほらほら、いこうよー,ねぇ.......。行かん？,......行こうか,......行きませんか？
moveFollow00,moveFollow,-,default,おっけ。いこ,はい！　いま行きます......！,おっけーい。そっち行くね,あいあい。いこ,あいよ。いくいく,わかった。行く,はい！　行きましょう
moveFollow01,moveFollow,-,default,わかった......今いく,あ、はい！　いきます,お、いいね。いくよ,んー？　おっけーい,んー......。おっけ、いく,......行くよ,わかりました。行きますね
moveFollow02,moveFollow,-,default,ちょっと待って......<br>よし、行く,ちょっとだけ待ってください......<br>......よし、行きます！,ちょっと待ってね......<br>......よし、いく！,ちょい待ち......<br>うん、おっけ。いこ,ちょい待ってよ......<br>おけい。いくー,ちょっと待ってほしい......<br>よし。行こう,もう少しだけ......<br>......はい、もう大丈夫。行きます
move00,move,-,default,<button>{0}</button>に来たよ,<button>{0}</button>に来ました......,<button>{0}</button>に来たよ。さて......,<button>{0}</button>みたいだねー,<button>{0}</button>かな,<button>{0}</button>に来た,<button>{0}</button>に来ました
move01,move,-,default,<button>{0}</button>だね。あたりを調べてみる......,<button>{0}</button>ですね。何かあるかな......,<button>{0}</button>だね。何かあるかな～,<button>{0}</button>だよ。ふーむ？,<button>{0}</button>だね。さてはて......,<button>{0}</button>だ。あたりを調べてみる,<button>{0}</button>ですね。その辺りを調べてみます......
move02,move,-,default,<button>{0}</button>、到着。さて、何かあるかな,<button>{0}</button>来ました。えーっと......,あい、<button>{0}</button>に来たよ。ふーむ......,<button>{0}</button>、来たよ。何かあるかなーっと,<button>{0}</button>、到着。なんかあるかねー,<button>{0}</button>に到着。何かあるといいけど......,<button>{0}</button>、到着です。さて、何かありますかね
move_locked00,move_locked,-,default,鍵がかかってて開かない......,鍵がかかってて開かないです......,ありゃ、鍵かかってる......。残念,鍵がかかってるっぽい。開けられないねー、こりゃ,これ......鍵かかっとるね。これは......開けらんない,......鍵がかかってて開かない,あら......鍵がかかってるみたいですね。開きません......
move_unlock00,move_unlock,-,default,{0}で鍵をこじ開けた。やったね......,{0}で鍵をこじ開けました！,{0}で鍵を開けたよ！　よしよし,{0}で鍵を開けたよ。無理やりだけど、ま、しょーがないよね,{0}で、鍵、開けたよ。おけおけ,{0}で鍵をこじ開けた。よし......,{0}で鍵をこじ開けました！　よーし......
move_failed00,move_failed,-,default,え......今、そこ、いるよ......？,え......？　今、そこにいますよ......？,え？　今、そこだけど？,えー？　今、そこにいるよー？,.......え？　今、そこ、おるよ？,......？　今、そこにいるんだけど......,えーと......？　今、私、そこにいますよ？
visitStage00,visitStage,-,default,何か見つかるといいけど......,何か残ってますかね......,何があーるっかなっと,何かあるかなー,なんかあるかねー,何か見つかるといいけど......,何か見つかるといいですね
visitStage01,visitStage,-,default,誰もいない......よね......,誰もいない......ですよね......,何かないかなー,さてさてー？,はてはて......,何か残ってるかな......,誰かいませんかね......
visitStage02,visitStage,-,default,さて......,うーんと......何かあるかな......,さーて......,さーてっと,なーんかないかなーっと,さて......ここは......,さて......
selection00,selection,-,default,{0}があるけど......。どうしよっか？,{0}があります......。どれにします......？,{0}があるね。......どする？,{0}、見つけたー。どーする？,{0}......があるんだけど。どーしよ？,{0}がある......。どうする？,{0}があります......。どうします？
selected00,selected,-,default,おっけー,はい！,りょーかい！,おっけーい,おけーい,わかった,わかりました
selectionSearch00,selectionSearch,-,default,{0}があるけど......。どれ見てみよっか？,{0}があります......。どれ調べてみます......？,{0}があるね。......どれ調べてみる？,{0}があるねー。どれ見てみよっかー？,{0}があるけど......どれ見てみるん？,{0}がある......。どれ見てみようか？,{0}があります......。どれ見てみましょう？
selectionAction00,selectionAction,-,default,{0}......。どうする？,{0}......。どうしましょう......？,{0}......。うーん、どする？,{0}......。んー。どーしよっか？,{0}......。うーむ。どする？,{0}......。どうする？,{0}......。どうします？
pre_itemGet00,pre_itemGet,-,default,{0}を調べてみる......,{0}を見てみます......,{0}を見てみるよ......,{0}を調べてみるー......,{0}、調べてみる......,{0}を調べてみる,{0}を調べてみます......
pre_itemGet01,pre_itemGet,-,default,{0}、見てみるね......,{0}、調べてみます......,{0}、調べてみるね,{0}、見てみるねー,{0]、見てみよ,{0}を見てみる,{0}、見てみます......
pre_itemGet02,pre_itemGet,-,default,{0}......何かあるかな......,うーん......{0}......何か見つかるかな......,{0}かー......何かあるかな～,さて、{0}......何か出てくるといいなー,{0}......ね。なんかあるかな,{0}......何かあるといいけど,{0}......何かありますかね......
itemGet00,itemGet,-,default,<button>{0}</button>を見つけた。もらっていこ,<button>{0}</button>を見つけました！　ごめんなさい、いただきます......！,<button>{0}</button>を見つけたよ！　らっきー！,<button>{0}</button>、みっけー,<button>{0}</button>、みっけた,<button>{0}</button>を見つけた。もらっていく,<button>{0}</button>を見つけました。いただいていきます
itemGet01,itemGet,-,default,<button>{0}</button>、見つけたよ,<button>{0}</button>ですね......いただいていきます......,<button>{0}</button>、だね。もらってこーっと,<button>{0}</button>見つけた。もらっちゃお,<button>{0}</button>、見つけた。もらってこう,<button>{0}</button>、見つけた,<button>{0}</button>、です。もらってしまいますね
itemGet02,itemGet,-,default,<button>{0}</button>......。もらっていこ,<button>{0}</button>、見つけました,<button>{0}</button>......大事に使いますんで！,<button>{0}</button>、見つけたよー,<button>{0}</button>、はっけん......,<button>{0}</button>......。もらってく,<button>{0}</button>......。いただきます
itemCountMax00,itemCountMax,-,default,<button>{0}</button>を見つけたけど......これ以上持てないな......,すみません......<button>{0}</button>、見つけたんですけど......カバンがいっぱいで......,<button>{0}</button>見つけた！　でも手持ちがいっぱいだ！,<button>{0}</button>、見つけたけれど、手持ちがいっぱいだね,<button>{0}</button>、見つけたけど......これ以上は持てんなぁ,<button>{0}</button>を見つけたけど......これ以上持てそうにない,<button>{0}</button>を見つけました......でも、これ以上持てませんね......
itemThrowConfirm00,itemThrowConfirm,-,default,どれ捨てていこっか？,どれを置いていきましょうか......,どれ捨ててく？,うーむ、どれを置いてく？,どれ、置いてくん？,どれ捨てていく？,どれ捨てていきます？
itemThrowFailed00,itemThrowFailed,-,default,え？　捨てていきたいやつの名前、答えてくれる？,えと......どれを、置いていけばいいでしょうか......？,どれを捨ててくか、選んでくんない？,んー？　どれを置いていくか、選んでくんない？,え？　どれ置いてくか、選んでほしいんだけど？,......？　捨てていきたいやつの名前、答えてほしい,え？　捨てていきたいものの名前を、答えていただけますか？
itemThrowCancel00,itemThrowCancel,-,default,じゃあ、{0}もらっていこ,じゃあ、{0}はもらっていきますね......！,じゃ、{0}はあたしがもらっちゃお,じゃあ、{0}はもらっちゃうねー,じゃ、{0}はもらってく,じゃ、{0}もらっていく,じゃあ、{0}、もらっていきますね
itemThrow00,itemThrow,-,default,おっけ。じゃ、{0}は置いてくね,はい！　{0}を置いていきます！,らじゃ！　{0}よ、さらば！,うん。そーしよ。{0}、置いてく,おけい。{0}は置いてくよ,わかった。じゃあ、{0}は置いていく,はい。それでは、{0}は置いていきます。残念ですけど
itemThrowMore00,itemThrowMore,-,default,まだ荷物いっぱい......他に、何捨ててく？,まだ荷物いっぱいですね......他に、何置いていきます？,まだ荷物いっぱいだね......他に、何捨ててこっか？,まだ荷物いっぱいだねー。他に、何捨ててくー？,まだ荷物がたくさんだね。ほか、何置いてく？,まだ荷物がいっぱいだ......他に、何捨てていく？,まだ荷物いっぱいですね......他に、何捨てていきましょう？
