id,type,arg0,fgType,natsuno<jpn>,kiko<jpn>,shino<jpn>,akane<jpn>,minamo<jpn>,itsuka<jpn>,hinase<jpn>
accident-damage00,accident,damage,default,わっ......！<br>がれきが崩れてきた......<br>いったぁ......,わぁ！<br>瓦礫が崩れて......<br>うう......,うわっ<br>瓦礫が崩れてきたっ<br>くっそー......ドジったなぁ......,わっ！<br>瓦礫が......！<br>不注意だった......負傷しちゃった......,おっと......！<br>がれきが崩れてきた......<br>いって......,うわっ......！<br>がれきが崩れてきた......<br>痛むな......,わぁ......！<br>がれきが崩れてきました......<br>いてて......
accident-damage01,accident,damage,default,いたっ......！<br>ガラスの破片で足切っちゃった......<br>痛い......,いっ......！<br>ガラスの破片で足切っちゃいました......<br>うぅぅ......,わっ<br>ガラスの破片で足切っちゃった......<br>ちぇー......いたいなー,いって......！<br>ガラスの破片で足切っちゃった......<br>いてて......,いっ......！<br>ガラスの破片で足切っちゃった......<br>いて......,うわっ......！<br>ガラスの破片で足がちょっと切れた......<br>痛むな......,わぁ......！<br>ガラスの破片で足切っちゃいしました......<br>少し痛みますね......
accident-lostItem00,accident,lostItem,default,わっ<br>床が抜けた......<br>{0}、落としちゃった......<br>うーん......拾えそうにない......,ああ......っ！<br>床が抜けて......<br>......{0}、落としちゃいました......ごめんなさい......,おっと！<br>床が抜けちゃった<br>あたしは大丈夫だけど、{0}落としちゃった......拾えなさそーだなー......,っと......<br>床が抜けた......<br>あちゃー......{0}、落としちゃった......,おっ......<br>急に、床、抜けた......<br>{0}、落とした......あー......これはもう取れんな......,うわっ<br>床が抜けた......<br>{0}、落とした......<br>これは......もう拾えないな......,わっ......！<br>床が抜けてしまいました......<br>ああ、{0}、落としてしまって......<br>これは......もう拾えそうにありませんね......
accident-lostItem01,accident,lostItem,default,うわっ<br>びっくりした......ネズミか......<br>あー......{0}、持っていかれちゃった......,あっ！<br>ネズミ......！<br>{0}、持って逃げちゃいました......,おっと！<br>ネズミだ......<br>やられたー......<br>{0}、もってかれちゃったよ......,わっ......<br>......ネズミかー......<br>{0}、もって逃げちゃった。あーあ,わっ......<br>びっくりした......ネズミだ......<br>あー......{0}、持ってかれた......,うわっ<br>びっくりした......ネズミか<br>あー......{0}、持っていかれた......,まぁ......！<br>びっくり......ネズミですか......<br>あら......{0}、持っていかれてしまいました......。大事にしてくださいねー
accident-explode00,accident,explode,default,うわっ<br>なんか爆発した！<br>いったぁ......<br>罠でも仕掛けてあったのかな......,あっ......！<br>なんか爆発しました！<br>いたた......<br>罠......だったんですかね......,あ......！<br>なんか爆発した......！<br>いたい......<br>くそー......罠だったのかな......,おおっ......！<br>なんか爆発したー！<br>いったーい......<br>感染者用の罠だったのかなー......,わっ......<br>なんか爆発した......！<br>いって......<br>誰か、罠でも仕掛けとったんかな......,うわっ<br>何かが爆発した......<br>痛い......<br>......罠だったのかもしれない......,わっ<br>何か爆発しました......<br>いてて......<br>......罠、だったんですかね......
accident-broken00,accident,broken,default,わっ......！<br>壊れちゃった......<br>いてて......,あぁっ<br>壊れちゃいました......<br>いたい......,わっ！<br>壊れちゃった......！<br>いったぁ......捻ったかも......,おっと......！<br>壊れちゃった......<br>あー......怪我しちゃったね......,おっと......！<br>壊れちゃった......<br>いって......,わっ......！<br>壊れた......<br>痛い......,わっ......！<br>壊れてしまいました......<br>いてて......
greeting-A00,greeting,A,default,そっちどう？,どんな調子ですか......？,おっす！　どんな感じ？,どんな調子？,そっちどんなもん？,そっちはどう？,そちらはいかがです？
greeting-A01,greeting,A,default,どんな感じ？,ど、どんな感じです......？,どう？　いい感じ？,ど？　何かあった？,どう？　どんな感じ？,どんな感じ？,どうでしょう？　どんな感じです？
greeting-A02,greeting,A,default,何かありそう？,何かありそうですか......？,何かありそうだったりした？,なんかありそ？,何かあるー？,何かあった？,何かありました？
greeting-B00,greeting,B,default,まぁまぁかな,うーん......そこそこ......,絶好調！,それなり、かな,まぁまぁ......かね,まぁまぁ......かな,まぁまぁですー
