id,type,arg0,fgType,natsuno<jpn>,kiko<jpn>,shino<jpn>,akane<jpn>,minamo<jpn>,itsuka<jpn>,hinase<jpn>
location00,location,-,default,どっち行こっかな......,あっちに何かあるかな......,こういうときは勘だけが頼り～,どっちに進もっかな......,どっち行くかね......,どっち行こうか,どちらに行きましょう......
location01,location,-,default,あっちの方が怪しそう......,だ、誰もいないですよね......,ここも、荒れに荒れてるなぁ......,何かものが残っているといーなー,あっちの方が怪しそうかね,向こうの方......何かあるかな,あちら、何かありますかね......
location02,location,-,default,うわ......なんか柔らかいもの踏んじゃった......,ここ......すごい臭いがします......うぅ......,あたしの勘によると、あっちの方が怪しい！,ときどき急に冷静になって、なんでこんな空き巣まがいのこと......とか考えちゃう<br>ま、こうでもしないと生きていけないんだけどー,あー......きったない......<br>部分的に......,......こういう腐臭は<br>慣れないもんだね......,まぁ......臭いますね......仕方のないことですけど......
location03,location,-,default,いい天気だな......あっつー......,今日も暑いですね......,あー！　あっつーい！,暑いなー......,今日も暑いな......,今日も暑い......,今日も暑いですね......
location-apartment00,location,apartment,default,ここに住んでいた人たち......どこに行っちゃったんだろ<br>......考えてもしょーがないっか,だ、誰もいない......ですよね......？<br>うう......,おじゃましまーす！<br>うわ、きたな！,ずいぶん慌てて逃げ出したみたい<br>何か使えるものが残ってりゃいいけど......,ここも、誰もおらんか......<br>......あんなに人がいっぱいおったのが、もうなんか、変な感じしてくる,ここにも、人が住んでいたんだ......<br>たった、半年で......<br>......,どなたかいらっしゃいませんかー？<br>感染者さんに出てこられても困りますけど......
location-hut00,location,hut,default,あー......ネズミとかいそう......やだな......,ここならしばらく暮らせそう......<br>......けど夜に一人はやだな......,誰が使ってたんだろう、ここ......<br>猟師さんとかかな？,山小屋だね。けっこー古いけど......しっかり建ててある,ここにも、誰かおったんかねー......<br>こういうところで暮らしてみるのも、あり......？,ここはずいぶん古いな......,古い建物ですね......<br>きっと、たくさんの人に大事にされてきたんでしょう......
location-shop00,location,shop,default,なにか残ってないかな......腐ってないもの......,ずいぶん荒らされちゃってますね......<br>しかたないかもだけど、でも......,これまた、何も残ってなさそうな感じだねー,暴動があったみたい。ガラスもほとんど割れちゃってるなー,なんか残っとるといいけどね......<br>なんか、なんかしら,もういろいろあさられたあとか......<br>それは、そうだよね......,残っているものが、何かあればいいんですが......
location-office00,location,office,default,......わたし、こういうところで働くことってないんだなー......<br>.......別にいいけど,難しい書類がたくさん......<br>紙が食べられたらなぁ......,紙も機械も、こんなにいっぱいあって、どんなお仕事してたんだろ<br>......読んでも絶対、わかんないけど,これは......税務の書類かな<br>今になってみると、何もかも滑稽だね......はは、笑っちゃう,うちも、こういうとこで働いてみたかったなー......<br>......や。うそかも,......何もかも、全部、ただの紙切れになっちゃったな<br>......,こういうところが荒らされていると、なんだか悲しくなってしまいますね
location-palace00,location,palace,default,でっかいお屋敷......<br>こんなに部屋があって、どうやって暮らしてたんだろ,すごいお屋敷......<br>きれいだったときに、来てみたかったな......,すっご！　どんな人が住んでたんだろ<br>メイドさんとかいたのかな～,ずいぶんと豪勢だなー......<br>今となっては、寂しいだけだけど,広いなー......<br>お屋敷！　って感じ。......あんま叫んだら怒られるかな,大きな屋敷......<br>それでも、同じように腐っていくんだ......,......少しだけ、実家を思い出します<br>今頃、どんな風になっているか......
location-village00,location,village,default,誰もいないな......<br>動物くらいいてもよさそうなのに,ここも、誰もいないんですね......<br>みんな、遠くに逃げちゃったのかな......,......この町も、もう誰もいないんだ......,この町も、ずいぶん前に捨てられたみたい<br>死体の数はそんな多くないから、住んでた人たちはどこかへ逃げたんだろーけど......,だーれも、おらん<br>......虫の声がよく聞こえるね,ここも、誰もいない......<br>静かだな......,誰もいないんでしょうか......<br>寂しいことですね......
-,,,,,,,,,,
