id,type,target,x,y,scale,opacity,time,ease
reset00,reset,bg,0,0,100,1,0,linear
reset00,reset,fg,0,0,100,1,0,linear
reset01,reset,bg,0,0,100,1,1,ease-out
reset01,reset,fg,0,0,100,1,1,ease-out
-,,,,,,,,
enter00,enter,bg,-5,-5,110,1,0,linear
enter01,enter,bg,0,0,100,1,1,ease-out
enterQuest00,enter,bg,-10,-10,120,1,0,linear
enterQuest00,enter,fg,-5,-5,110,0,0,linear
enterQuest01,enter,bg,0,0,100,1,8,ease-out
enterQuest01,enter,fg,0,0,100,1,1.5,ease-out
-,,,,,,,,
ending00,ending,bg,-20,-20,140,1,0,linear
ending01,ending,bg,0,0,100,1,5,ease-out
-,,,,,,,,
focusFg-left00,focusFg-left,bg,0,0,120,1,0.7,ease-out
focusFg-left00,focusFg-left,fg,-10,-5,140,1,0.7,ease-out
focusFg-right00,focusFg-right,bg,-20,0,120,1,0.7,ease-out
focusFg-right00,focusFg-right,fg,-30,-5,140,1,0.7,ease-out
-,,,,,,,,
focusBg00,focusBg,bg,0,0,120,1,1,ease-out
focusBg00,focusBg,fg,0,-5,140,0,1,ease-out
focusBg01,focusBg,bg,-20,0,120,1,1,ease-out
focusBg01,focusBg,fg,-40,-5,140,0,1,ease-out
focusBg02,focusBg,bg,0,-20,120,1,1,ease-out
focusBg02,focusBg,fg,0,-10,140,0,1,ease-out
focusBg03,focusBg,bg,-20,-20,120,1,1,ease-out
focusBg03,focusBg,fg,-40,-10,140,0,1,ease-out
-,,,,,,,,
moveBg00,moveBg,bg,0,0,100,1,20,ease-in-out
moveBg01,moveBg,bg,0,0,110,1,20,ease-in-out
moveBg02,moveBg,bg,0,-10,110,1,20,ease-in-out
moveBg03,moveBg,bg,-10,0,110,1,20,ease-in-out
moveBg04,moveBg,bg,-10,-10,110,1,20,ease-in-out
moveBg05,moveBg,bg,0,0,110,1,20,ease-in-out
moveBg06,moveBg,bg,0,-5,110,1,20,ease-in-out
moveBg07,moveBg,bg,-5,0,110,1,20,ease-in-out
moveBg08,moveBg,bg,-5,-5,110,1,20,ease-in-out
-,,,,,,,,
moveFg00,moveFg,fg,0,0,100,-,20,ease-in-out
moveFg01,moveFg,fg,0,0,100,-,20,ease-in-out
moveFg02,moveFg,fg,0,-5,100,-,20,ease-in-out
moveFg03,moveFg,fg,-5,0,100,-,20,ease-in-out
moveFg04,moveFg,fg,-5,-5,100,-,20,ease-in-out
moveFg05,moveFg,fg,0,0,100,-,20,ease-in-out
moveFg06,moveFg,fg,0,-2,100,-,20,ease-in-out
moveFg07,moveFg,fg,-2,0,100,-,20,ease-in-out
moveFg08,moveFg,fg,-2,-2,100,-,20,ease-in-out
-,,,,,,,,
event-reset00,event,bg,0,0,100,1,0,ease-out
event-reset00,event,fg,0,0,100,1,0,ease-out
event-reset01,event,bg,0,0,100,1,2,ease-out
event-reset01,event,fg,0,0,100,1,2,ease-out
event-focusFg-left00,event,bg,0,0,120,1,2,ease-out
event-focusFg-left00,event,fg,0,-5,140,1,2,ease-out
event-focusFg-right00,event,bg,-20,0,120,1,2,ease-out
event-focusFg-right00,event,fg,-40,-5,140,1,2,ease-out
-,,,,,,,,
