id,name<jpn>,type,item,variable,accessory,count,material0,material1,material2,material3,material4,recipe,selectMaterial,description,dismantleable,sound,additionalDescription<jpn>
heal00,包帯,craft,heal00,-,-,1,material02,material02,,,,-,false,item,true,craft00,-
-,,,,,,,,,,,,,,,,,
cooking00,サンドイッチ,cooking,cooking00,-,-,1,food06,food04,,,,-,false,item,false,cook00,-
cooking01,ハンバーグ,cooking,cooking01,-,-,1,food00,food05,,,,-,false,item,false,cook00,-
cooking02,串焼き肉,cooking,cooking02,-,-,1,food00,,,,,-,false,item,false,cook00,-
cooking03,コンソメスープ,cooking,cooking03,-,-,1,food01,,,,,-,false,item,false,cook00,-
cooking04,おにぎり,cooking,cooking04,-,-,1,food02,,,,,-,false,item,false,cook00,-
cooking05,焼きおにぎり,cooking,cooking05,-,-,1,food02,cookingTool01,,,,-,false,item,false,cook00,-
cooking06,オムレツ,cooking,cooking06,-,-,1,food03,,,,,-,false,item,false,cook00,-
cooking07,たまごサンド,cooking,cooking07,-,-,1,food06,food03,,,,-,false,item,false,cook00,-
cooking08,肉煮込み,cooking,cooking08,-,-,1,food00,cookingTool00,,,,-,false,item,false,cook00,-
cooking09,玉ねぎスープ,cooking,cooking09,-,-,1,food05,food01,,,,-,false,item,false,cook00,-
cooking10,焼き魚,cooking,cooking10,-,-,1,food07,,,,,-,false,item,false,cook00,-
cooking11,白身魚のオーブン蒸し,cooking,cooking11,-,-,1,food07,cookingTool00,,,,-,false,item,false,cook00,-
cooking12,ホットサンド,cooking,cooking12,-,-,1,food06,food04,cookingTool02,,,-,false,item,false,cook00,-
cooking13,オニオンリング,cooking,cooking13,-,-,1,food05,,,,,-,false,item,false,cook00,-
cooking14,フライドポテト,cooking,cooking14,-,-,1,food09,,,,,-,false,item,false,cook00,-
cooking15,たまごかけごはん,cooking,cooking15,-,-,1,food03,food02,,,,-,false,item,false,cook00,-
cooking16,ハムエッグ,cooking,cooking16,-,-,1,food04,food03,,,,-,false,item,false,cook00,-
cooking17,魚のコンソメ煮,cooking,cooking17,-,-,1,food07,food01,,,,-,false,item,false,cook00,-
cooking18,ピザトースト,cooking,cooking18,-,-,1,food06,food08,,,,-,false,item,false,cook00,-
cooking19,肉巻きチーズ,cooking,cooking19,-,-,1,food00,food08,,,,-,false,item,false,cook00,-
cooking20,チーズサンド,cooking,cooking20,-,-,1,food08,biscuit00,,,,-,false,item,false,cook00,-
