id,name<jpn>,ruby<jpn>,area,rarity,ratio,category,tag,type,arg0,arg1,arg2,arg3,variable,accessory,speak,sound,utilizeSound,weight,inventoryLimit,context,trash,lost,stack,mergeable,catalog,description<jpn>
heal00,包帯,ほうたい,-,1,0.3,heal,medicine,heal,40,,,,,,use,heal00,-,1,-,-,true,true,1,true,true,傷口を覆う包帯。使用すると体力を40回復。
heal01,救急箱,きゅうきゅうばこ,-,30,0.1,heal,medicine,heal,80,,,,,,use,heal00,-,1,-,-,true,true,1,true,true,手当をするための道具が揃えた箱。使用すると体力を80回復。
-,,,,,,,,,,,,,,,,,,,,,,,,,,
cooking00,サンドイッチ,さんどいっち,-,-1,0,heal,cooking,cooking,25,35,bread,,,,-,eat00,-,1,-,-,true,true,1,true,true,ハムをパンで挟んだサンドイッチ。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking01,ハンバーグ,はんばーぐ,-,-1,0,heal,cooking,cooking,35,25,meat,,,,-,eat00,-,1,-,-,true,true,1,true,true,コンビーフを砕いて玉ねぎと一緒に練ったハンバーグ。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking02,串焼き肉,くしやきにく,-,-1,0,heal,cooking,cooking,20,10,meat,,,,-,eat00,-,1,-,-,true,true,1,true,true,串に刺した肉を直火で焼いた一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking03,コンソメスープ,こんそめすーぷ,-,-1,0,heal,cooking,cooking,20,10,vegetable,,,,-,eat00,-,1,-,-,true,true,1,true,true,インスタントのコンソメスープ。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking04,おにぎり,おにぎり,-,-1,0,heal,cooking,cooking,15,15,rice,,,,-,eat00,-,1,-,-,true,true,1,true,true,手に塩をかけて握ったおにぎり。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking05,焼きおにぎり,やきおにぎり,-,-1,0,heal,cooking,cooking,30,30,rice,,,,-,eat00,-,1,-,-,true,true,1,true,true,香ばしい焦げ目をつけたおにぎり。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking06,オムレツ,おむれつ,-,-1,0,heal,cooking,cooking,10,20,egg,,,,-,eat00,-,1,-,-,true,true,1,true,true,ふんわり焼き上げたオムレツ。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking07,たまごサンド,たまごさんど,-,-1,0,heal,cooking,cooking,25,35,egg,,,,-,eat00,-,1,-,-,true,true,1,true,true,砕いたゆで卵を挟んだサンドイッチ。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking08,肉煮込み,にくにこみ,-,-1,0,heal,cooking,cooking,40,20,meat,,,,-,eat00,-,1,-,-,true,true,1,true,true,じっくり時間をかけた肉を煮込んだ一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking09,玉ねぎスープ,玉ねぎすーぷ,-,-1,0,heal,cooking,cooking,40,20,vegetable,,,,-,eat00,-,1,-,-,true,true,1,true,true,玉ねぎをたっぷり使ったスープ。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking10,焼き魚,やきざかな,-,-1,0,heal,cooking,cooking,15,15,fish,,,,-,eat00,-,1,-,-,true,true,1,true,true,木の串を刺して、焚き火で焼いた魚。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking11,白身魚のオーブン蒸し,しろみざかなのおーぶんむし,-,-1,0,heal,cooking,cooking,30,30,fish,,,,-,eat00,-,1,-,-,true,true,1,true,true,時間をかけて蒸した魚料理。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking12,ホットサンド,ほっとさんど,-,-1,0,heal,cooking,cooking,45,55,bread,,,,-,eat00,-,1,-,-,true,true,1,true,true,ハムをパンで挟んで焼き上げたサンドイッチ。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking13,オニオンリング,おにおんりんぐ,-,-1,0,heal,cooking,cooking,20,10,vegetable,,,,-,eat00,-,1,-,-,true,true,1,true,true,薄切りの玉ねぎを油で揚げた一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking14,フライドポテト,ふらいどぽてと,-,-1,0,heal,cooking,cooking,10,20,vegetable,,,,-,eat00,-,1,-,-,true,true,1,true,true,細く切ったじゃがいもを油でカラッと。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking15,たまごかけごはん,たまごかけごはん,-,-1,0,heal,cooking,cooking,30,30,rice,,,,-,eat00,-,1,-,-,true,true,1,true,true,白米にたまごを乗せて、さっとかき混ぜただけの簡単な料理。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking16,ハムエッグ,はむえっぐ,-,-1,0,heal,cooking,cooking,40,20,meat,,,,-,eat00,-,1,-,-,true,true,1,true,true,ハムと一緒に焼いた目玉焼き。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking17,魚のコンソメ煮,さかなのこんそめに,-,-1,0,heal,cooking,cooking,30,30,fish,,,,-,eat00,-,1,-,-,true,true,1,true,true,白身魚をコンソメで煮詰めた料理。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking18,ピザトースト,ぴざとーすと,-,-1,0,heal,cooking,cooking,25,35,bread,,,,-,eat00,-,1,-,-,true,true,1,true,true,パンにチーズをたっぷりかけて焼き上げた。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking19,肉巻きチーズ,にくまきちーず,-,-1,0,heal,cooking,cooking,40,20,meat,,,,-,eat00,-,1,-,-,true,true,1,true,true,チーズに薄切り肉を巻いて、じっくり焼き上げた料理。溶けたチーズが食欲をそそる。<br>使用すると体力を{0}回復、空腹度を{1}回復。
