id,name<jpn>,type,stageCount,stageEventCount,eventRarity,enemyLevel,prioritizeItem,option,optionArgs[],startEvent,startEventArgs[],fixedStages[],image,sound,outside<jpn>,describe<jpn>
talk00,talk,talk,1,0,-1,-1,-,-,-,-,-,-,-,,-,
firstApartmen00,誰もいないアパート,firstApartmen00,2,1,1,1,-,-,-,-,-,-,location00,environment00,外に繋がる扉,並んだ扉もガラス窓も、全部開け放たれている。<br>荒れ果てたこのアパートには、とても人が住んでいるようには見えない。
marble00,何もないどこか,marble,2,0,0,0,-,-,-,,-,-,scenario24,scenario07,-,耳を澄ませば、かすかに何かの音が聞こえる。<br>ただのノイズのようでもあるけれど、じっと聞いていると、それが何か、よく知った音色に思えてくる。
endApartmen00,誰もいないアパート,endApartmen00,2,1,1,1,-,LocationOptionNoBattle,-,-,-,-,location00,environment00,外に繋がる扉,並んだ扉もガラス窓も、全部開け放たれている。<br>荒れ果てたこのアパートには、とても人が住んでいるようには見えない。
-,,,,,,,,,,,,,,,,
apartment00,人気のないアパート,apartment,2,1,5,3,food02,-,-,-,-,-,location00,environment00,外に繋がる扉,並んだ扉もガラス窓も、全部開け放たれている。<br>荒れ果てたこのアパートには、とても人が住んでいるようには見えない。
apartment01,荒らされたあとのアパート,apartment,2,1,10,10,food01,-,-,-,-,-,location28,environment00,外に繋がる扉,並んだ扉もガラス窓も、全部開け放たれている。<br>荒れ果てたこのアパートには、とても人が住んでいるようには見えない。
apartment02,燃えた跡のあるアパート,apartment,2,2,15,15,food05,-,-,-,-,-,location06,environment00,外に繋がる扉,並んだ扉もガラス窓も、全部開け放たれている。<br>荒れ果てたこのアパートには、とても人が住んでいるようには見えない。
-,,,,,,,,,,,,,,,,
hut00,寂れた小屋,hut,2,1,5,3,ammo00,LocationOptionExitBroken,1,-,-,-,location01,environment01,外に繋がる扉,もともと何に使われていたものだろう。<br>簡素なつくりの小さな小屋は、きっとずっと前から変わらずに訪れる人を待っている。
hut01,しばらく使われていない小屋,hut,2,1,5,10,ammo00,LocationOptionExitBroken,1,-,-,-,location29,environment01,外に繋がる扉,もともと何に使われていたものだろう。<br>簡素なつくりの小さな小屋は、きっとずっと前から変わらずに訪れる人を待っている。
hut02,煙突のある小屋,hut,2,2,10,18,ammo01,LocationOptionExitBroken,1,-,-,-,location07,environment01,外に繋がる扉,もともと何に使われていたものだろう。<br>簡素なつくりの小さな小屋は、きっとずっと前から変わらずに訪れる人を待っている。
hut100,暖炉のある小屋,hut,2,1,10,12,ammo00,-,-,ConfirmEnemyBossEvent,encount/id/enemyBoss100,-,location53,environment01,外に繋がる扉,もともと何に使われていたものだろう。<br>簡素なつくりの小さな小屋は、きっとずっと前から変わらずに訪れる人を待っている。
-,,,,,,,,,,,,,,,,
shop00,空っぽのお店,shop,3,1,10,4,biscuit01,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location02,environment00,外に繋がる扉,ガラスが割れ、棚が砕け、かつての活気は失われた。<br>ものの流れが途絶えた店は、時の止まったように静かだった。
shop01,シャッターの下りた店舗,shop,3,2,15,15,food03,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location30,environment00,外に繋がる扉,ガラスが割れ、棚が砕け、かつての活気は失われた。<br>ものの流れが途絶えた店は、時の止まったように静かだった。
shop02,荒らされた小売店,shop,3,2,20,20,food04,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location08,environment00,外に繋がる扉,ガラスが割れ、棚が砕け、かつての活気は失われた。<br>ものの流れが途絶えた店は、時の止まったように静かだった。
-,,,,,,,,,,,,,,,,
