id,location,type,text<jpn>
room00,-,room,音のしない部屋。<br>でも時間は流れていて、空気は漂っている。
room01,-,room,誰かの生活の跡が見える。<br>音の一つもしないところで見かける人の息遣いに、途方もない思いになる。
corridor00,-,corridor,散らかった廊下の奥は暗い。<br>どこまでもずっと続いて見える。<br>もちろんそんなことはないってわかっているけれど、妄想が勝手に恐怖する。
corridor01,-,corridor,窓から差す光に、埃が舞っているのが見える。<br>思わず口や鼻を覆いそうになる。
bath00,-,bath,光が水に揺られて天井を照らしている。<br>ゆらゆら、生きてるみたいに動いて見える。
bath01,-,bath,ひどい臭いだろう。<br>淀んだ水が、床を踏む振動に波打つ。<br>覗き込んでも、底は見えない。
warehouse00,-,warehouse,扉に鍵がかかっていなくて、希望もあるけれど、同じくらいぞっとする。<br>この陰に何が潜んでいるのか、本当は見たくない。
warehouse01,-,warehouse,静かで、暗くて、ちょっと湿気ている。<br>開けた窓から吹き込む風が、空間の広がりを感じさせる。
kitchen00,-,kitchen,テーブルの上に準備しかけの皿が残っていた。<br>真っ黒になっていて、何だったのかもうわからない。<br>ただここにも生活があったんだと思い出す。
kitchen01,-,kitchen,どこかで雫が落ちているのが聞こえる。<br>ぽたぽたと、ここでは水が時を刻む。
shop00,-,shop,めぼしいものは全部もっていかれて、棚には何も残っていない。<br>奥に何か見えたと思っても、たいてい、ただの暗がりがあるだけ。
shop01,-,shop,棚から商品のなくなった店というのは異様だった。<br>朽ち果てているのと同じくらい、日常からかけ離れていて、気味が悪い。
office00,-,office,黄ばんだ書類が散らばっている。<br>いつかの明日、どこかに送られるはずだった封筒もある。<br>封が切られることは、たぶん、もうない。
office01,-,office,ここに最後まで残っていた人たちの間で、何が起こったのだろう。<br>折れたテーブルやばらばらにされたコンピュータが転がっている。
hall00,-,hall,広い空間に埃が漂っている。<br>塵の一つひとつが光に照らされて輝く。<br>風がない。<br>埃たちは、いつからこうしているのだろう。
hall01,-,hall,広い空間に響く足音が、不安を煽る。<br>たった一人でいることを教えられているようで、心細い。
square00,-,square,舗装された道を砂が隠す。<br>その上に草が根を張る。<br>こんなに開けたところでも、人がいなければ緑に吞まれてしまう。
square01,-,square,乗り捨てられた車が歩道に突っ込んでいた。<br>それでも、その先の塀を倒していないから、平穏な景色に思えてしまう。
road00,-,road,真っ直ぐな道がどこまでも続いて見える。<br>誰もいない。何もない。
road01,-,road,薄暗い路地は、一見すると平時と何も変わらない。<br>陰から飛び出してくるのが、猫だったらどんなにいいだろう。
garden00,-,garden,緑に呑まれてしまった庭。<br>かつてはきっと手入れされていた花が、今は好き勝手に、力強く育っている。
garden01,-,garden,壁を這う蔓が、開け放たれたままの窓から家の中に入っていた。<br>家の中がどんな風になっているか、少しだけ気になる。
machineRoom00,-,machineRoom,何に使う機械だろう。<br>眺めていたってもちろんわからない。<br>もしかしたら、使い方のわかる人はもう世界中のどこにもいないかもしれない、とそんなことを思った。
machineRoom01,-,machineRoom,これから何に加工される予定だったのだろう。<br>ゴムや鉄の板がそこら中で伸びている。
carryIn00,-,carryIn,物流は止まってしまった。<br>それだけでも、今までの暮らしがまったく成り立たない。<br>もう二度と運び出されることのないコンテナを見ていると、どうしようもない絶望感に襲われる。
carryIn01,-,carryIn,トラックに積まれて荷物がやってくるところ。<br>もちろん今は何か運ばれることはないけれど、搬入口なんて普段見ることはないから、ちょっとわくわくする。
parking00,-,parking,人々は車を使って逃げようとしたのだろうか。<br>渋滞が起きたり、途中で燃料が尽きることを見越して、車は避けただろうか。<br>今となっては、残されたものたちから想像するしかない。
parking01,-,parking,アスファルトだって日差しで溶けそうになる。<br>見上げる空の青さが目に刺さる。
gallery00,-,gallery,どんなに価値のあるものでも、もう見向きもされないだろう。<br>過去の遺物は今を生き残るのに役に立たない。<br>いろんなものが失われていくのだと思う。
gallery01,-,gallery,扉から差す光を受けて、動物の標本が大きな影をつくる。<br>生き物のかたちをしたものには、なんであれ身構えてしまう。
attractions00,-,attractions,再びこういうものを楽しめるようになる日は来るのだろうか。<br>そんなの、今はまったく想像することができない。
attractions01,-,attractions,青い空にジェットコースターの影が映える。<br>首が痛くなるまで見上げてみて、それだけでなんだか楽しくなる。
-,,,
