id,priority,stage,count,text<jpn>
object_anywhere00,-1,-,2,{0}も、{1}も、寝静まっている。<br>ここを去ってしまったら、もう二度と、誰かに見つけられることはないかもしれない。
object_anywhere01,-1,-,3,{0}、{1}、{2}......みんな、もともとは持ち主がいただろう。<br>今となっては、使われていた頃の様子を想像することさえできない。
object_anywhere02,-1,-,2,見渡せば、{0}や{1}が目に入った。<br>静かだけれど、人のいた跡はある。
object_anywhere03,-1,-,1,ふと、薄暗闇の中に{0}があるのを見つけた。<br>静かに、ただ、そこにある。
object_anywhere04,-1,-,1,物陰の向こうに{0}が隠れていた。<br>誰かがここを通っても、きっと気づくことはなかっただろう。
object_anywhere05,-1,-,1,光がちらついているのが見えて、そこに{0}があるのがわかった。
object_anywhere06,-1,-,1,一瞬、空気の流れさえ止まって見えた。<br>{0}が、その静けさの中に取り残されている。
-,,,,
secondary00,0,secondary,1,{0}が残されている。
secondary01,0,secondary,2,{0}と{1}が残されている。
secondary02,0,secondary,3,{0}と{1}、{2}が残されている。
secondary03,0,secondary,4,{0}、{1}、{2}と{3}が残されている。
secondary04,0,secondary,5,{0}、{1}、{2}、{3}や{4}が残されている。
secondary05,0,secondary,6,{0}や{1}、{2}、{3}、{4}に{5}が残されている。
-,,,,
bridge00,0,bridge,1,奥に{0}が見えた。
bridge01,0,bridge,1,向こうに{0}がある。
bridge02,0,bridge,1,目を凝らせば{0}が見える。
bridge03,0,bridge,1,少し先に{0}がある。
bridge04,0,bridge,1,すぐ先に{0}が見えた。
bridge05,0,bridge,2,少し行けば{0}と{1}がある。
bridge06,0,bridge,2,右手に{0}、左手に{1}が見えた。
bridge07,0,bridge,2,歩く先に{0}や{1}がある。
bridge08,0,bridge,2,行く先にあるのは{0}や{1}だった。
bridge09,0,bridge,3,奥に{0}と{1}、それから{2}が見えた。
bridge10,0,bridge,3,{0}、{1}、{2}が先に続いている。
-,,,,
object_room00,0,room,3,{0}、{1}、{2}......<br>主を失ったものたちが、ひっそりと、流れる時に身を沈めている。
object_room01,0,room,3,全部、部屋の持ち主が置いていったものだろうか。<br>{0}、{1}、{2}、みんな、どこか寂しげだった。
object_corridor00,0,corridor,2,最後にここを通ったのは誰だろう。<br>{0}にも、{1}にも、埃が積もっている。
object_corridor01,0,corridor,2,{0}や{1}が脇に寄せられている。
object_bath00,0,bath,1,{0}が、水に跳ね返された光できらきら輝いている。<br>生きているみたいな揺らめきに、思わず身がすくむ。
object_bath01,0,bath,1,{0}も、ずっとこんなところにあったのではカビも生える。
object_warehouse00,0,warehouse,3,時が止まってしまったみたいだった。<br>{0}、{1}、{2}、ずっと昔からここにあったのだろうか。
object_warehouse01,0,warehouse,3,薄暗い中に、ものの輪郭が見える。<br>{0}、{1}、{2}、眠っているなら、そのままにしておいた方がいいのでは、と思ってしまう。
object_kitchen00,0,kitchen,3,きっと慌てて逃げたのだろう。<br>{0}や{1}、{2}が、散らかされたまま放置されている。
object_kitchen01,0,kitchen,3,{0}、{1}、{2}、かつて使われていた跡があればあるほど、虚しい思いになる。
object_shop00,0,shop,3,見回せば、{0}や、{1}や、{2}が目に入る。<br>もちろん、もともとあった姿からはずいぶんかけ離れてしまっている。
object_shop01,0,shop,3,{0}や{1}、{2}が残されていた。<br>窓の大きな店は、光が奥までよく届く。
object_office00,0,office,2,デスクの並んだ部屋はずいぶん散らかされている。<br>{0}、{1}......いろんなものが散乱している。
object_office01,0,office,2,{0}、{1}、何事もなかったかのように整頓されているものもあれば、当時の騒動を思わせるものもある。
object_hall00,0,hall,4,煌びやかだったはずの広間。<br>{0}や{1}、{2}も、{3}も、今はただ静かに再び光を受けるのを待っている。
