id,stage,text<jpn>
scene_room_a00,room,はがれた壁紙が痛々しい。
scene_room_a01,room,白いカーテンが風に揺れていた。
scene_room_a02,room,木目調のフローリングに泥の足跡が残されていた。
scene_room_b00,room,ガラスの砕けた窓から差す光だけで照らされていた。
-,,
scene_hutRoom_a00,hutRoom,床に開いた穴の深さが見通せない。
scene_hutRoom_a01,hutRoom,部屋の四隅には、もれなく蜘蛛の巣が張っている。
scene_hutRoom_a02,hutRoom,木枠の窓ガラスは割れてしまっている。
scene_hutRoom_b00,hutRoom,歩くたびに床が軋む。
scene_hutRoom_b01,hutRoom,木材やら鉄板やらが立てかけられて、散らかっている。
scene_hutRoom_b02,hutRoom,埃が舞っている。長い間放置されているのは間違いなかった。
-,,
scene_staffRoom_a00,staffRoom,背の高いロッカーがずらっと並んでいる。
scene_staffRoom_a01,staffRoom,窓にはブラインドが下りていて薄暗い。
scene_staffRoom_a02,staffRoom,太陽光発電の時計が今でも動き続けている。
scene_staffRoom_b00,staffRoom,事務デスクがいくつか並べられていた。
scene_staffRoom_b01,staffRoom,書類とハンコが散らかされていた。
-,,
scene_guestRoom_a00,guestRoom,短い廊下の向こうに、ほとんどベッドだけの空間が見える。
scene_guestRoom_a01,guestRoom,黒で統一された壁紙が落ち着いた雰囲気をつくっていた。
scene_guestRoom_a02,guestRoom,天井からは小さなシャンデリアが吊るされ、ドアノブの装飾さえ華やかだった。
-,,
scene_corridor_a00,corridor,薄暗い道が続く。
scene_corridor_a01,corridor,リノリウムの床がどこまでも続く。
scene_corridor_a02,corridor,天井からぶら下げられるのは、派手なシャンデリア。
scene_corridor_b00,corridor,冷えたコンクリートが光を奪い去ってしまう。
scene_corridor_b01,corridor,暗く、湿っていた。
scene_corridor_b02,corridor,扉が並ぶばかりで、静かだった。
-,,
scene_bath_a00,bath,どこからか雫の落ちるのが聞こえてきた。
scene_bath_a01,bath,水色のタイルの間に黒いカビが生えていた。
scene_bath_a02,bath,窓から差す日差しに、ほとんど干からびているみたいだった。
scene_bath_b00,bath,タイル敷きの床に、汚れた浴槽が横たわっている。
scene_bath_b01,bath,そこかしこに蜘蛛の巣が張っていた。
scene_bath_b02,bath,広い空間に足つきのバスタブがたたずむ。
-,,
scene_warehouse_a00,warehouse,蜘蛛の巣の張った棚は、もので溢れていた。
scene_warehouse_a01,warehouse,無造作にものが積み上げられていて、足の踏み場もないくらいだった。
scene_warehouse_a02,warehouse,背の高い棚が連なって、視界が悪い。
scene_warehouse_b00,warehouse,朽ちかけた木の床板の軋む音が不気味な倉庫だった。
scene_warehouse_b01,warehouse,ひび割れたコンクリートで囲まれている。
-,,
scene_kitchen_a00,kitchen,白い壁が、木目調の床が、どことなく懐かしさを呼んでくる。
scene_kitchen_a01,kitchen,ガスコンロに空の中華鍋が放置されている。
scene_kitchen_a02,kitchen,そこかしこで何かが腐っている。
scene_kitchen_b00,kitchen,今にも何か炒める音でも聞こえてきそうだった。
-,,
scene_shop_a00,shop,だだっ広い空間に無骨なラックがいくつも並べられている。
scene_shop_a01,shop,破かれた梱包材が白い床に投げ捨てられている。
scene_shop_a02,shop,空っぽの段ボール箱がそこら中に転がっている。
scene_shop_b00,shop,朽ちた葉ばかりが残っている。
-,,
scene_office_a00,office,明日生き残るには使いようのないコンピュータばかりが残されている。
scene_office_a01,office,壁一面を書棚が覆っている。
scene_office_a02,office,色とりどりのユニークな椅子が並んでいる。
scene_office_b00,office,テーブルに沈黙するコンピュータが並ぶ。
scene_office_b01,office,ずいぶん汚れているけれど上等な椅子だった。
-,,
scene_hall_a00,hall,白い階段が弧を描くようにして二階まで続いている。
scene_hall_a01,hall,赤いカーペットの敷かれた階段が、二階まで続いている。
scene_hall_a02,hall,階段を上った先、上階の中央には大きな肖像画が掲げられていた。
scene_hall_b00,hall,吹き抜けになった二階からシャンデリアが吊るされていた。
scene_hall_b01,hall,窓はない。入ってきた扉からの光だけに照らされて仄暗い。
-,,
scene_square_a00,square,シャッターの下りた店が立ち並ぶ。
scene_square_a01,square,ひび割れたアスファルトに電柱の影が濃く落ちる。
scene_square_a02,square,街路樹がなぎ倒されてしまっていた。
scene_square_b00,square,沈黙した信号機が寂しい。
scene_square_b02,square,見上げれば、歩道橋が架かっている。
-,,
scene_road_a00,road,古い民家が立ち並ぶ。
scene_road_a01,road,そこかしこから飛び出してくる草木に覆われていた。
scene_road_a02,road,古い家と新築のアパートが奇妙な模様をなしている。
scene_road_b00,road,道幅の狭い道路。一方通行の標識が虚しく掲げられていた。
scene_road_b01,road,放棄された田畑に囲まれていた。
scene_road_b02,road,なだらかな上り坂だった。
-,,
scene_garden_a00,garden,かつての細々とした家庭菜園の跡がある。
scene_garden_a01,garden,空っぽの犬小屋が寂しく佇んでいた。
