id,date,area,startlocationCount,scenarioOccurRatio,scenarioCurrentDateOnly,useAreaGroup,locationOption,locationOptionArgs[],startSpeak,successSpeak,success,failed,successEvent,successEventArgs[],target<jpn>,description<jpn>
dummy00,-1,dummy00,-,1,false,false,-,-,startLocation,true,none,none,CompleteAreaEvent,false/-,-,-
-,,,,,,,,,,,,,,,,
talk00,-1,talk00,-,1,false,false,-,-,startLocation,true,none,none,CompleteAreaEvent,false/-,-,-
prologue00,-1,scenario00,-,1,false,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,false/-,-,-
ending00,-1,scenario01,-,1,false,false,-,-,startLocation,true,goOutside,dead,TalkEvent,main16-18,-,-
-,,,,,,,,,,,,,,,,
journey00,-1,endless,-,0,false,false,LocationOptionExitLocked,1/fuel00/3,startLocation,true,goOutside,dead,CompleteAreaEvent,true/itemGetRecord00,-,-
-,,,,,,,,,,,,,,,,
file-main00,0,main00,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,-
file-main01,1,main01,5,1,false,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,-
file-main02,2,main02,5,1,false,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,-
file-main03,3,main03,5,1,false,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,-
file-main04,4,main04,5,1,false,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,-
file-main05,5,main05,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-main06,6,main06,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-main07,7,main07,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-main08,8,main08,5,1,false,false,LocationOptionSpeak,confused/true,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-main09,9,main09,5,1,false,false,LocationOptionSpeak,confused/true,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-main10,10,main10,5,1,false,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-main11,11,main11,5,1,false,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-main12,12,main12,5,1,false,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-main13,13,main13,5,1,false,false,LocationOptionSpeak,confused/true,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-main14,14,main14,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-main15,15,main15,5,1,true,false,-,-,-,false,visitAllStage,-,CompleteAreaEvent,false/-,-,
file-main16,16,main16,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
-,,,,,,,,,,,,,,,,
file-kiko01,101,kiko01,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,-
file-shino01,102,shino01,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,-
file-akane01,103,akane01,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,-
file-minamo01,104,minamo01,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-hinase01,105,hinase01,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-itsuka01,106,itsuka01,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
-,,,,,,,,,,,,,,,,
file-kiko02,201,kiko01,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,-
file-shino02,202,shino01,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,-
file-akane02,203,akane01,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,-
file-minamo02,204,minamo01,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-hinase02,205,hinase01,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
file-itsuka02,206,itsuka01,5,1,true,false,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,-,
-,,,,,,,,,,,,,,,,
file-endless,9999,endless,10,0.8,false,true,-,-,startLocation,true,goOutside,dead,CompleteAreaEvent,true/-,夏の彼方　　<br>（コンテンツの開放情報を見る）,夏の彼方<br><br>目指すところのない旅に、終わりはありません。<red>夏の彼方</red>では、彼女との旅をいつまでも続けることができます。
-,,,,,,,,,,,,,,,,
