id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
akane1-1,bg,scenario15
akane1-1,playBgm,environment00
akane1-1,talk,natsuno,......ね
akane1-1,talk,natsuno,アカネさん......
akane1-1,fg,survivor03,right-left,1.0
akane1-1,playBgm,character03
akane1-1,talk,akane,んー？
akane1-1,talk,akane,なに？
akane1-1,talk,natsuno,最近、元気そう、だね
akane1-1,fg,survivor03,right-left,0.5,smile
akane1-1,talk,akane,えー？
akane1-1,talk,akane,そう？
akane1-1,talk,akane,そう思う？
akane1-1,talk,akane,こんな身体になって
akane1-1,talk,akane,ナツノちゃんが、毎日ご飯つくってくれるからかな～
akane1-1,talk,natsuno,......
akane1-1,fg,survivor00,right-right,0.5,depress
akane1-1,talk,natsuno,......なら
akane1-1,talk,natsuno,よかった
akane1-1,fg,survivor03,right-left,0.5,serious
akane1-1,talk,akane,......えー
akane1-1,fg,survivor03,right-left,0.5,default
akane1-1,talk,akane,つっこんでくれないと、困っちゃうんだけど......
akane1-1,talk,akane,ナツノちゃん大丈夫......？
akane1-1,talk,akane,なんか吹っ切れたみたいな顔して戻ってきたけど
akane1-1,talk,akane,やっぱり、なんか不安？
akane1-1,talk,natsuno,......
akane1-1,talk,natsuno,......ううん
akane1-1,talk,natsuno,わたしのことは、別に
akane1-1,talk,natsuno,大丈夫だけど
akane1-1,talk,natsuno,......
akane1-1,talk,natsuno,......アカネさんさ
akane1-1,talk,natsuno,わたしがイツカと会う前......
akane1-1,talk,natsuno,ちょっとの間、一人でどっか行ってたけど
akane1-1,talk,natsuno,何、してたの？
akane1-1,talk,akane,えー？
akane1-1,talk,akane,......
akane1-1,talk,akane,......前、言ったとおりだよ？
akane1-1,talk,akane,足が痛いの気にしながら
akane1-1,talk,akane,感染者から出てきたいろんなもの、集めてただけ
akane1-1,talk,natsuno,......
akane1-1,talk,natsuno,どんな風に？
akane1-1,talk,akane,どんなって......
akane1-1,talk,akane,え？
akane1-1,talk,akane,なに？
akane1-1,talk,akane,なんかおもしろい話しろ、ってこと？
akane1-1,fg,survivor03,right-left,0.5,smile
akane1-1,talk,akane,お姉さん、そういうの苦手なんだよなー......
akane1-1,talk,natsuno,......
akane1-1,talk,natsuno,......いいよ、おもしろくなくて
akane1-1,talk,natsuno,聞かせてよ、なんでもいいから
akane1-1,pauseBgm
akane1-1,talk,akane,......
akane1-1,fg,survivor03,right-left,0.5,serious
akane1-1,playBgm,scenario04
akane1-1,talk,akane,......別に
akane1-1,talk,akane,聞かせるようなことは、何もないよ
akane1-1,talk,akane,自分の足がおかしくなってくのにびびって
akane1-1,talk,akane,焦って
akane1-1,talk,akane,どうにかできる方法がないかって必死に考えて
akane1-1,talk,akane,他の感染者の身体がどうなってるのか調べようとして
akane1-1,talk,akane,......それだけだよ
akane1-1,talk,akane,......
akane1-1,talk,akane,......まぁ、でも
akane1-1,talk,akane,そういえば、ずっと一人だったわけじゃないんだ
akane1-1,talk,akane,あの旅の途中で、知らない人と出会って
akane1-1,talk,akane,ちょっとの間、一緒にいた
akane1-1,talk,natsuno,......そうなんだ
akane1-1,talk,natsuno,どうして、その人と別れたの？
akane1-1,talk,akane,......
akane1-1,talk,natsuno,......
akane1-1,fg,survivor00,right-right,0.5,default
akane1-1,talk,natsuno,......なに？
akane1-1,talk,natsuno,言いにくいこと？
akane1-1,talk,akane,......いや
akane1-1,talk,akane,どうして別れたのって
akane1-1,talk,akane,なんかカレシと別れたあとの会話みたいだなって
