id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
collection1-1,bg,scenario00
collection1-1,playBgm,character00
collection1-1,wait,2
collection1-1,talk,natsuno,さて......
collection1-1,talk,natsuno,どうやって飾ろっかな......
collection1-1,talk,natsuno,......
collection1-1,talk,natsuno,これって、油絵だよね......
collection1-1,talk,natsuno,触っちゃだめ......なんだよね
collection1-1,talk,natsuno,たぶん
collection1-1,talk,natsuno,あんまり日に当たらない方がいいのかな
collection1-1,talk,natsuno,うーん......
collection1-1,talk,natsuno,もらったときに、いろいろ聞いとけばよかった
collection1-1,talk,natsuno,......ま、聞いてもちゃんと答えてくれるか
collection1-1,talk,natsuno,わかんない感じの人だったけど......
collection1-1,talk,natsuno,......
collection1-1,talk,natsuno,......とりあえず
collection1-1,talk,natsuno,車の中に飾っとこ
collection1-1,talk,natsuno,......よし
collection1-1,talk,natsuno,これなら、運転の邪魔にもならないはず
collection1-1,talk,natsuno,......
collection1-1,talk,natsuno,......やっぱり、いい絵だな
collection1-1,talk,natsuno,きれい
collection1-1,talk,natsuno,きれいっていうか......
collection1-1,talk,natsuno,なんて言ったらいいのか、わかんないけど
collection1-1,talk,natsuno,何もない原っぱの景色で
collection1-1,talk,natsuno,見てると、風が吹いてる感じする
collection1-1,pauseBgm
collection1-1,talk,natsuno,......
collection1-1,talk,natsuno,......絵っていうか
collection1-1,playBgm,scenario03
collection1-1,talk,natsuno,絵画、みたいなのって
collection1-1,talk,natsuno,美術の授業とかでしか観ることないから、よくわかんないんだけどね
collection1-1,talk,natsuno,......あーあ
collection1-1,talk,natsuno,美術館とか
collection1-1,talk,natsuno,そういうの、もっと行っとけばよかったかな
collection1-1,talk,natsuno,今ならどこでもタダで入り放題だけど......
collection1-1,talk,natsuno,なんていうか
collection1-1,talk,natsuno,小さい頃から、そういうのに触れてこなかったからかな
collection1-1,talk,natsuno,どうやって観たらいいのか、よくわかんないんだよね
collection1-1,talk,natsuno,学がないというか
collection1-1,talk,natsuno,こんな状況で、学とか言っても仕方ないんだけど......
collection1-1,talk,natsuno,うーん......
collection1-1,talk,natsuno,......
collection1-1,talk,natsuno,......あの人は
collection1-1,talk,natsuno,こんな絵が描けるくらいだから
collection1-1,talk,natsuno,きっと、そういうの、わかる人なんだろうな
collection1-1,talk,natsuno,......ちょっと羨ましい
collection1-1,talk,natsuno,いい絵だって思うのに
collection1-1,talk,natsuno,それをうまく言葉にできないとか
collection1-1,talk,natsuno,どうしてなんだろう、って自分で解釈できないのって
collection1-1,talk,natsuno,悲しいなって、感じ
collection1-1,talk,natsuno,......
collection1-1,talk,natsuno,......絵描いて旅してるって
collection1-1,talk,natsuno,そんなこと言ってたよね
collection1-1,talk,natsuno,......
collection1-1,talk,natsuno,......なんでなんだろ
collection1-1,talk,natsuno,あの人は、どうして......旅なんて、してるんだろうね......
collection1-1,wait,2
collection1-1,end,questSuccess
-,,,
collection2-1,bg,scenario00
collection2-1,playBgm,environment00
collection2-1,wait,2
