id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
hinase2-1,bg,scenario28
hinase2-1,playBgm,environment00
hinase2-1,talk,natsuno,......
hinase2-1,talk,natsuno,......あれ
hinase2-1,talk,natsuno,気のせいかな
hinase2-1,talk,natsuno,このエンジン音......
hinase2-1,talk,natsuno,......
hinase2-1,talk,natsuno,ちょっと行ってくる
hinase2-1,wait,2
hinase2-1,fadeOut,1
hinase2-1,newPage
hinase2-1,pauseBgm
hinase2-1,wait,2
hinase2-1,fadeIn,1
hinase2-1,wait,2
hinase2-1,talk,natsuno,......
hinase2-1,talk,natsuno,......やっぱり
hinase2-1,talk,natsuno,そうだと思った
hinase2-1,wait,1
hinase2-1,talk,natsuno,......ヒナセさん？
hinase2-1,wait,1
hinase2-1,fg,survivor07,right-left,1.0
hinase2-1,playBgm,character07
hinase2-1,wait,1
hinase2-1,talk,hinase,......？
hinase2-1,fg,survivor07,right-left,0.5,smile
hinase2-1,talk,hinase,あら
hinase2-1,talk,hinase,あらあら
hinase2-1,talk,hinase,まぁ
hinase2-1,talk,hinase,ナツノさん？
hinase2-1,talk,hinase,ナツノさんですよね
hinase2-1,talk,natsuno,うん
hinase2-1,talk,natsuno,憶えてる？　わたしのこと
hinase2-1,fg,survivor07,right-left,0.5,default
hinase2-1,talk,hinase,もちろん
hinase2-1,talk,hinase,ご無沙汰してます
hinase2-1,talk,natsuno,うん......久しぶり
hinase2-1,talk,hinase,もしかして......バイクの音、聞きつけて来てくれたんですか？
hinase2-1,talk,natsuno,うん
hinase2-1,talk,natsuno,なんか聞いたことある音するなと思って
hinase2-1,talk,hinase,大きい音しますもんね、この子
hinase2-1,talk,natsuno,うん。元気そうだね
hinase2-1,talk,hinase,はい
hinase2-1,talk,hinase,おかげさまで、あれからは故障もなく、ずっと元気です
hinase2-1,talk,natsuno,そうなんだ。よかったね
hinase2-1,talk,hinase,はい
hinase2-1,talk,natsuno,そいえば......
hinase2-1,talk,natsuno,ちょっと前にシノと会ってさ
hinase2-1,talk,hinase,え？
hinase2-1,talk,natsuno,聞いたよ。シノと一緒に、シノの故郷まで行ったんだって
hinase2-1,talk,hinase,え......？
hinase2-1,talk,hinase,ああ......
hinase2-1,talk,hinase,もしかして、シノさんのお話に出てきた女の子って......
hinase2-1,talk,hinase,ナツノさん......？
hinase2-1,talk,natsuno,たぶん、そう
hinase2-1,talk,hinase,まぁ......
hinase2-1,talk,hinase,世の中って、狭いんですね
hinase2-1,talk,hinase,そっか......あれって、ナツノさんのことだったんだ
hinase2-1,fg,survivor00,right-right,0.5,zito
hinase2-1,talk,natsuno,......
hinase2-1,talk,natsuno,......シノ、どんな話してたの？
hinase2-1,talk,hinase,え？
hinase2-1,talk,hinase,......ふふ
hinase2-1,talk,hinase,内緒です
hinase2-1,talk,natsuno,......
hinase2-1,fg,survivor00,right-right,0.5,default
hinase2-1,talk,natsuno,......まぁ、いいけど
hinase2-1,talk,hinase,でも、そうなんですね
hinase2-1,talk,hinase,シノさんと会ったんだ......
hinase2-1,talk,hinase,じゃあ、私たちの最近のことは、ご存じなんですね
hinase2-1,talk,natsuno,まぁ......シノが話してくれたことだけ
hinase2-1,talk,natsuno,シノの故郷の町に行ったって
hinase2-1,talk,hinase,はい
hinase2-1,talk,hinase,ナツノさんと会って、それから結構すぐシノさんと会って......
hinase2-1,talk,hinase,シノさんが住んでた町に行って、最近こっちに戻ってきたので
hinase2-1,talk,hinase,たぶん、それがナツノさんと別れたあと私が過ごした時間のだいたい全部ですね
hinase2-1,talk,natsuno,そっか
hinase2-1,talk,natsuno,遠いところまで行ったんだもんね
hinase2-1,talk,hinase,ええ
hinase2-1,talk,hinase,こうして戻ってくると、なんだかほんの短い時間だったように感じますけど
hinase2-1,talk,hinase,でも、遠いところだったんだっと思います
hinase2-1,talk,hinase,......
hinase2-1,talk,hinase,ねぇ
hinase2-1,fg,survivor07,right-left,0.5,smile
hinase2-1,talk,hinase,ナツノさんは？
hinase2-1,talk,natsuno,え？
hinase2-1,talk,hinase,聞かせてください
hinase2-1,talk,hinase,ナツノさんは、私と別れたあと、どんな時間を過ごしました？
hinase2-1,wait,2
hinase2-1,fadeOut,1
hinase2-1,newPage
hinase2-1,wait,2
hinase2-1,fadeIn,1
hinase2-1,wait,2
hinase2-1,talk,hinase,まぁまぁ！
hinase2-1,talk,hinase,そんなことが！
hinase2-1,talk,hinase,へぇ......！
hinase2-1,talk,hinase,じゃあ、私たちがいるこの世界は、実はコンピュータの中にあるんですね！
hinase2-1,fg,survivor00,right-right,0.5,zito
hinase2-1,talk,natsuno,......
hinase2-1,talk,natsuno,......そうらしいけど
hinase2-1,talk,natsuno,そんな、目キラキラさせて言うこと......？
hinase2-1,talk,hinase,だって、びっくりじゃないですか
hinase2-1,talk,natsuno,びっくりではあるけど......
hinase2-1,talk,natsuno,聞いておもしろい話ではなくない？
hinase2-1,talk,hinase,おもしろいです！
hinase2-1,talk,natsuno,......
hinase2-1,talk,hinase,だって、私もそのコンピュータの一部というか、コンピュータに計算されてできてるってことですよね
hinase2-1,fg,survivor00,right-right,0.5,default
hinase2-1,talk,natsuno,まぁ......
hinase2-1,talk,natsuno,わたしたちの世界のコンピュータとは、またちょっと違うものらしいけど......
hinase2-1,talk,hinase,うーん
hinase2-1,talk,hinase,不思議ですねぇ
hinase2-1,fg,survivor00,right-right,0.5,zito
hinase2-1,talk,natsuno,......
hinase2-1,talk,natsuno,......ヒナセさんも
hinase2-1,talk,natsuno,おんなじくらい不思議だよ
hinase2-1,talk,hinase,......？
hinase2-1,wait,3
hinase2-1,appendSurvivor,hinase
hinase2-1,end,questSuccess
-,,,
hinase2-2,bg,scenario28
hinase2-2,playBgm,character07
hinase2-2,talk,natsuno,ヒナセさんはさ
hinase2-2,fg,survivor07,right-left,0.5
hinase2-2,talk,hinase,はい？
hinase2-2,talk,natsuno,どうだった？
hinase2-2,talk,natsuno,シノの故郷の町に行ってみて......
hinase2-2,talk,natsuno,どう思った？
hinase2-2,fg,survivor07,right-left,0.5,sad
hinase2-2,talk,hinase,......
hinase2-2,talk,hinase,......そうですね
hinase2-2,talk,hinase,なんだか、不思議な感じがしました
hinase2-2,talk,hinase,あんな、本当に家がぽつりぽつりとしかない町は、たぶん初めてで
hinase2-2,talk,hinase,もちろん、テレビなんかで見たことはありますし
hinase2-2,talk,hinase,車でそういう町を通ったり、列車の中から見たことくらいあると思うんですけど
hinase2-2,talk,hinase,でも......なんというか
hinase2-2,talk,hinase,そこで暮らすということを、ちゃんと考えたことはなかったというか
hinase2-2,talk,hinase,人が生きている場所として、見たことがなかった......というか
hinase2-2,talk,hinase,だから、とても不思議な感じでした
hinase2-2,talk,hinase,買い物はどうするんだろう、とか、そういう疑問もありますし
hinase2-2,talk,hinase,森や川の隣で暮らすって、どんな感じなんだろうと思って
hinase2-2,talk,hinase,......
hinase2-2,talk,hinase,......でも
hinase2-2,talk,hinase,私......
hinase2-2,pauseBgm
hinase2-2,talk,hinase,......
hinase2-2,talk,hinase,......シノさんと、喧嘩してしまったんです
hinase2-2,fg,survivor00,right-right,0.5,serious
hinase2-2,talk,natsuno,喧嘩......？
hinase2-2,playBgm,scenario06
hinase2-2,talk,hinase,喧嘩というか、私が一方的に、シノさんを怒らせてしまっただけなんですけど
hinase2-2,talk,hinase,シノさんに、いろいろ聞いてしまったんです
hinase2-2,talk,hinase,どんな風に暮らしていたのか、とか
hinase2-2,talk,hinase,あの町に戻って、どんなことを思ったのか、とか
hinase2-2,talk,hinase,でも......
hinase2-2,talk,hinase,シノさんにだって、いろいろ思うことがあって
