id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
itsuka1-1,bg,scenario35
itsuka1-1,playBgm,character00
itsuka1-1,talk,natsuno,......
itsuka1-1,talk,natsuno,......あれ
itsuka1-1,talk,natsuno,どこだろ
itsuka1-1,talk,natsuno,......
itsuka1-1,talk,natsuno,......あー
itsuka1-1,talk,natsuno,また......？
itsuka1-1,talk,natsuno,......
itsuka1-1,wait,1
itsuka1-1,fadeOut,1
itsuka1-1,newPage
itsuka1-1,wait,1
itsuka1-1,fadeIn,1
itsuka1-1,wait,1
itsuka1-1,talk,natsuno,おーい
itsuka1-1,talk,natsuno,イツカー......？
itsuka1-1,talk,itsuka,......
itsuka1-1,talk,itsuka,............
itsuka1-1,talk,natsuno,......
itsuka1-1,talk,natsuno,もー......
itsuka1-1,talk,natsuno,ねぇ
itsuka1-1,talk,natsuno,イツカ
itsuka1-1,talk,natsuno,朝だよ
itsuka1-1,talk,natsuno,起きてよ
itsuka1-1,talk,natsuno,ごはん、つくっちゃったよ
itsuka1-1,talk,itsuka,......
itsuka1-1,talk,itsuka,......いらない
itsuka1-1,talk,natsuno,えー
itsuka1-1,talk,natsuno,せっかくつくったのに
itsuka1-1,talk,natsuno,朝ごはん食べないと元気でない......
itsuka1-1,talk,natsuno,......って言ってたよ？
itsuka1-1,talk,itsuka,......
itsuka1-1,talk,itsuka,......誰が？
itsuka1-1,talk,natsuno,誰だっけ
itsuka1-1,talk,natsuno,お母さん？
itsuka1-1,talk,itsuka,......
itsuka1-1,talk,itsuka,......おやすみ
itsuka1-1,fg,survivor00,right-right,0.5,zito
itsuka1-1,talk,natsuno,......えー
itsuka1-1,wait,1
itsuka1-1,fadeOut,1
itsuka1-1,newPage
itsuka1-1,fg,survivor00,right-right,0,default
itsuka1-1,pauseBgm
itsuka1-1,wait,1
itsuka1-1,fadeIn,1
itsuka1-1,wait,2
itsuka1-1,fg,survivor06,right-left,0.5,zito
itsuka1-1,playBgm,character06
itsuka1-1,talk,itsuka,......ふぁぁ
itsuka1-1,talk,natsuno,まだ眠い？
itsuka1-1,fg,survivor06,right-left,0.5,default
itsuka1-1,talk,itsuka,まぁね
itsuka1-1,talk,natsuno,なんか最近、イツカ、そういう日多くない？
itsuka1-1,talk,natsuno,夜中、何してるの？
itsuka1-1,talk,itsuka,......別に
itsuka1-1,talk,natsuno,......
itsuka1-1,talk,natsuno,......言えないこと？
itsuka1-1,talk,natsuno,......なら、まぁ
itsuka1-1,talk,natsuno,無理には聞かないけど
itsuka1-1,talk,itsuka,......
itsuka1-1,talk,itsuka,......別に、なんでもないよ
itsuka1-1,talk,itsuka,私はもともと、こうってだけ
itsuka1-1,talk,natsuno,こう？
itsuka1-1,talk,itsuka,......夜型っていうか
itsuka1-1,talk,itsuka,明け方に眠って、昼過ぎに起きるのが
itsuka1-1,talk,itsuka,私にとって普通ってこと
itsuka1-1,talk,natsuno,......
itsuka1-1,talk,natsuno,......イツカって
itsuka1-1,talk,natsuno,ニートの人？
itsuka1-1,fg,survivor06,right-left,0.5,zito
itsuka1-1,talk,itsuka,......
itsuka1-1,talk,itsuka,こんな世の中、誰だってニートみたいなものだろう
itsuka1-1,talk,itsuka,......こうなる前は、ちゃんと働いてたよ
itsuka1-1,talk,natsuno,そんな生活習慣なのに？
itsuka1-1,talk,itsuka,......フリーランスだったから
itsuka1-1,talk,itsuka,基本、私のタイミングで仕事するし
itsuka1-1,talk,itsuka,別に、朝起きて会社行って働くだけが
itsuka1-1,talk,itsuka,生き方じゃないんだ
itsuka1-1,talk,natsuno,へー
itsuka1-1,talk,natsuno,そう言われると
itsuka1-1,talk,natsuno,ちょっとかっこいいかも
itsuka1-1,talk,natsuno,どんな仕事してたの？
itsuka1-1,talk,itsuka,......教えない
itsuka1-1,talk,itsuka,今度からは起こさないなら、教える
itsuka1-1,talk,natsuno,えー
itsuka1-1,talk,natsuno,でも、ちゃんと朝起きないと早死にしちゃうかもよ？
itsuka1-1,talk,itsuka,関係ないでしょ......
itsuka1-1,talk,natsuno,イツカ、もう若くないんだし
itsuka1-1,talk,itsuka,......
itsuka1-1,talk,itsuka,............
itsuka1-1,talk,itsuka,........................
itsuka1-1,fg,survivor06,right-left,0.5,default
itsuka1-1,talk,itsuka,......いや、まだ若いし
itsuka1-1,wait,1
itsuka1-1,appendSurvivor,itsuka
itsuka1-1,end,questSuccess
-,,,
itsuka1-2,bg,scenario23
itsuka1-2,fgClear
itsuka1-2,hideStatus
itsuka1-2,wait,3
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,......ねぇ
itsuka1-2,talk,itsuka,まだ、起きてる？
itsuka1-2,playBgm,character06
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,......あなたも、結構、遅くまで起きてることあるよね
itsuka1-2,talk,itsuka,こんな夜中なのに
itsuka1-2,talk,itsuka,......や、そうか
itsuka1-2,talk,itsuka,こっちが夜中だからって
itsuka1-2,talk,itsuka,あなたの世界が夜だとは限らないんだ
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,......じゃあ
itsuka1-2,talk,itsuka,ちょっと話そうよ
itsuka1-2,talk,itsuka,ナツノはとっくに寝ちゃって
itsuka1-2,talk,itsuka,本当......健康的な生活してるよね
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,......はは
itsuka1-2,talk,itsuka,懐かしいな
itsuka1-2,talk,itsuka,昔は、毎晩毎晩
itsuka1-2,talk,itsuka,こうやって、通話繋いで
itsuka1-2,talk,itsuka,なんでもない話、してたんだ
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,......そう
itsuka1-2,talk,itsuka,だから、私がこれからする話も
itsuka1-2,talk,itsuka,なんでもない
itsuka1-2,talk,itsuka,他愛のない話、だよ
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,......ナツノはさ
itsuka1-2,talk,itsuka,あのあと......いなくなって、帰ってきたあと
itsuka1-2,talk,itsuka,吹っ切れたみたいな
itsuka1-2,talk,itsuka,でも、ちょっと寂しそうな
itsuka1-2,talk,itsuka,そんな感じで
itsuka1-2,talk,itsuka,きっと、もう大丈夫なんだろうと思う
itsuka1-2,talk,itsuka,私も、何があったのか、なんとなく聞いたよ
itsuka1-2,talk,itsuka,あなたと話をして
