id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
kiko2-1,bg,scenario10
kiko2-1,fg,survivor00,right-right,0,serious
kiko2-1,playBgm,environment00
kiko2-1,talk,natsuno,......
kiko2-1,talk,natsuno,......ねぇ
kiko2-1,talk,natsuno,......
kiko2-1,talk,natsuno,......あなたさ
kiko2-1,talk,natsuno,幽霊って......
kiko2-1,talk,natsuno,......信じる？
kiko2-1,talk,natsuno,......
kiko2-1,talk,natsuno,............
kiko2-1,talk,natsuno,......あの、
kiko2-1,talk,natsuno,......
kiko2-1,talk,natsuno,......キコ？
kiko2-1,talk,natsuno,......
kiko2-1,talk,natsuno,......と
kiko2-1,talk,natsuno,ミノタロー......？
kiko2-1,wait,1
kiko2-1,fg,survivor01,right-left,1.0,surprise,dog
kiko2-1,talk,kiko,......わ
kiko2-1,talk,kiko,......
kiko2-1,talk,kiko,......え
kiko2-1,talk,kiko,えぇぇぇぇ......
kiko2-1,talk,kiko,......
kiko2-1,talk,kiko,......な、
kiko2-1,talk,kiko,ナツノさん......
kiko2-1,talk,kiko,......の、幽霊？
kiko2-1,talk,natsuno,......
kiko2-1,fg,survivor00,right-right,0.5,zito
kiko2-1,talk,natsuno,............
kiko2-1,wait,3
kiko2-1,fadeOut,1
kiko2-1,newPage
kiko2-1,fg,survivor00,right-right,0,default
kiko2-1,fg,survivor01,right-left,0,default,dog
kiko2-1,wait,1
kiko2-1,playBgm,character01
kiko2-1,fadeIn,1
kiko2-1,talk,natsuno,......
kiko2-1,talk,natsuno,......じゃあ、本当に
kiko2-1,talk,natsuno,その子は、ミノタローじゃない......んだ
kiko2-1,talk,kiko,はい
kiko2-1,talk,kiko,この子は、カンタローっていいます
kiko2-1,talk,natsuno,......
kiko2-1,fg,survivor00,right-right,0.5,zito
kiko2-1,talk,natsuno,......由来を聞いてもいい？
kiko2-1,talk,kiko,ゆ、由来......？
kiko2-1,talk,kiko,えーと......
kiko2-1,talk,kiko,インスピレーション......？
kiko2-1,talk,natsuno,......
kiko2-1,talk,natsuno,......なるほど
kiko2-1,talk,natsuno,ちなみに、ミノタローの名づけ親って......
kiko2-1,talk,kiko,......？
kiko2-1,talk,kiko,わ、私です......
kiko2-1,talk,kiko,小さい頃なので、よく憶えてないんですけど
kiko2-1,talk,natsuno,......
kiko2-1,talk,natsuno,......なるほど
kiko2-1,talk,kiko,......
kiko2-1,talk,kiko,......あの
kiko2-1,talk,kiko,ナツノさんも
kiko2-1,talk,kiko,本当に......ナツノさん、なんですよね
kiko2-1,talk,kiko,ええと......
kiko2-1,talk,kiko,なんて言ったらいいか......
kiko2-1,talk,kiko,......
kiko2-1,fg,survivor00,right-right,0.5,serious
kiko2-1,talk,natsuno,......うん
kiko2-1,talk,natsuno,わたし、だよ
kiko2-1,talk,natsuno,死んでないし、幽霊じゃない
kiko2-1,talk,natsuno,ちゃんと生きてる
kiko2-1,talk,natsuno,......
kiko2-1,talk,natsuno,ほんとに
kiko2-1,talk,natsuno,久しぶりだね、キコ
kiko2-1,talk,kiko,......そう、ですよね
kiko2-1,talk,kiko,なんていうか......
kiko2-1,talk,kiko,すごい、偶然で......
kiko2-1,talk,natsuno,......
kiko2-1,fg,survivor00,right-right,0.5,depress
kiko2-1,talk,natsuno,......そうだね
kiko2-1,talk,natsuno,偶然......
kiko2-1,talk,natsuno,......偶然だけど
kiko2-1,fg,survivor00,right-right,0.5,smile
kiko2-1,talk,natsuno,運命......みたいだよね
kiko2-1,talk,kiko,......？
kiko2-1,talk,kiko,運命......
kiko2-1,talk,kiko,そう、ですね......
kiko2-1,talk,kiko,......
kiko2-1,talk,kiko,......ええと
kiko2-1,talk,kiko,ナツノさん
kiko2-1,fg,survivor01,right-left,0.5,smile,dog
kiko2-1,talk,kiko,......お久しぶりです
kiko2-1,wait,2
kiko2-1,appendSurvivor,kiko
kiko2-1,end,questSuccess
-,,,
kiko2-2,bg,scenario10
kiko2-2,fg,survivor00,right-right,0,serious
kiko2-2,fg,survivor01,right-left,0,serious,dog
kiko2-2,playBgm,character01
kiko2-2,talk,kiko,......そ、そんなことが
kiko2-2,talk,kiko,あったんですね......
kiko2-2,talk,kiko,......あったんですね、というか
kiko2-2,talk,kiko,ごめんなさい
kiko2-2,talk,kiko,がんばったんですけど、途中から、よくわかんなくなっちゃって......
kiko2-2,talk,kiko,あとでもう一回聞いてもいいですか......？
kiko2-2,talk,natsuno,まぁ、そうだよね......
