id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main0-1,bg,scenario01
main0-1,fgClear
main0-1,hideStatus
main0-1,playBgm,environment00
main0-1,wait,5
main0-1,talk,natsuno,あー。あー
main0-1,talk,natsuno,......
main0-1,talk,natsuno,............
main0-1,talk,natsuno,........................
main0-1,talk,natsuno,......繋がるわけないっか
main0-1,talk,natsuno,最近、どんどん電波入んなくなってるなぁ
main0-1,talk,natsuno,せっかくスマホ充電できたのに......
main0-1,talk,natsuno,これじゃ写真とるくらいしかやることないじゃん
main0-1,talk,natsuno,......
main0-1,talk,natsuno,......でも、せっかくだからこのまま録音しよっかな
main0-1,talk,natsuno,それも、いいかも
main0-1,talk,natsuno,......
main0-1,talk,natsuno,......えー
main0-1,talk,natsuno,今日は......七月二十三日。土曜日
main0-1,talk,natsuno,たまにしか電波入らないけど、たぶん、日付は合ってるはず
main0-1,talk,natsuno,東京を出てから......もう一か月くらいかな
main0-1,talk,natsuno,東京の港に飛行機が落ちた日からだと、もう二か月以上
main0-1,talk,natsuno,今、ここは......どこだろ
main0-1,talk,natsuno,東京を出て北に進んだはずだけど......今どのへんかはわかんない
main0-1,talk,natsuno,途中までは電車だったし、山形あたりかな？
main0-1,talk,natsuno,天気は晴れ。暑くて死んじゃいそう
main0-1,talk,natsuno,どっかに水道ないかな......
main0-1,talk,natsuno,......
main0-1,talk,natsuno,......あと、なんだろ
main0-1,talk,natsuno,......あれ
main0-1,talk,natsuno,ねぇ......もしかして、だれか聞いてる？
main0-1,talk,natsuno,......
main0-1,talk,natsuno,............
main0-1,talk,natsuno,......ねぇ、もし誰か聞いてるんだったら......
main0-1,camera,event-focusFg-right00
main0-1,wait,1
main0-1,fg,survivor00,right-right,0.5
main0-1,talk,natsuno,わたし、<button>ナツノ</button>
main0-1,talk,natsuno,ねぇ、返事して？
main0-1,talk,natsuno,聞こえてたら......そうだなぁ......
main0-1,talk,natsuno,わたしの名前、呼んでみて？
main0-1,label,request_yes
main0-1,waitCall,natsuno,input_yes,input_ng,
main0-1,label,input_ng,
main0-1,talk,natsuno,......
main0-1,jump,request_yes,
main0-1,label,input_yes,
main0-1,pauseBgm,
main0-1,talk,natsuno,......
main0-1,fg,survivor00,right-right,0.5,zito
main0-1,talk,natsuno,............
main0-1,talk,natsuno,......まじ？
main0-1,wait,2
main0-1,releaseCamera
main0-1,end,questSuccess,
-,,,
main0-2,bg,computer00,
main0-2,wait,2,
main0-2,talk,,──まじ？
main0-2,talk,,知らない少女の声がした。
main0-2,talk,,聞いたことのない声。
main0-2,talk,,見たことのない景色。
main0-2,talk,,浴びたことのない日差し。
main0-2,talk,,何もかも、全部が初めてだった。
main0-2,wait,1
main0-2,fadeOutTextLine
main0-2,wait,1,
main0-2,newPage,
main0-2,fadeInTextLine
main0-2,wait,1,
main0-2,playBgm,story00
main0-2,talk,,声は、古い古いコンピュータから聞こえてくる。
main0-2,talk,,ここには真っ青な空も、照りつける日差しも、夏の匂いもない。
main0-2,talk,,彼女がいるのは、コンピュータの画面の向こう、宙を飛ぶ電波の先。
main0-2,talk,,これはどこか遠くから届けられる映話で、だから彼女の姿だって、カメラに映っている分しか見られない。
main0-2,talk,,でも、決して、つくりものや過去の映像じゃない。
main0-2,talk,,この景色はどこかにあって、きっと、どこかにいる。
main0-2,fadeOutTextLine
main0-2,wait,1,
main0-2,newPage,
main0-2,fadeInTextLine
main0-2,wait,1,
main0-2,talk,,つくりものの「物語」や、過去の録画ではないから、
main0-2,talk,,このあと彼女が何を言うのか、想像もできない。
main0-2,talk,,彼女だってきっと、決めていない。
main0-2,talk,,彼女の言葉も、その足の向かう先も、これから決まる。
main0-2,talk,,こうしている間にも、一つ、また一つ、知らない夏の音が聞こえてくる。
main0-2,talk,,彼女はまた口を開いて、そして、言う。
main0-2,wait,1
main0-2,fadeOut,3
main0-2,end,questSuccess,
-,,,
main0-3,bg,scenario01,
main0-3,playBgm,story00
main0-3,talk,natsuno,だってさ
main0-3,talk,natsuno,せっかく、なんとか電車乗れたのに
main0-3,talk,natsuno,ほんと、すごいぎゅうぎゅうの電車だったんだから
