id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main3-1,bg,location05
main3-1,playBgm,environment01
main3-1,fg,survivor00,right-right,0,serious
main3-1,talk,natsuno,......
main3-1,talk,natsuno,......このあたりにも、いそうにない......
main3-1,talk,natsuno,......
main3-1,talk,natsuno,どこ行っちゃったんだろ
main3-1,talk,natsuno,アカネさん......
main3-1,talk,natsuno,......
main3-1,fg,survivor00,right-right,0.5,depress
main3-1,talk,natsuno,......どこかで
main3-1,talk,natsuno,死んじゃったとか
main3-1,talk,natsuno,そんなこと......ないよね......
main3-1,talk,natsuno,......
main3-1,wait,1
main3-1,pauseBgm
main3-1,fadeOut,1
main3-1,newPage
main3-1,fg,survivor00,right-right,0,serious
main3-1,wait,1
main3-1,fgClear
main3-1,bg,scenario07
main3-1,fadeIn,1
main3-1,wait,1
main3-1,playBgm,scenario04
main3-1,talk,natsuno,ねぇ
main3-1,talk,natsuno,あなたは、どう思う？
main3-1,talk,natsuno,宇宙人って、どこかにいると思う？
main3-1,talk,natsuno,宇宙人って......どうして、わたしたちに信号を送ってるんだと思う？
main3-1,talk,natsuno,......
main3-1,talk,natsuno,......わかってるよ
main3-1,talk,natsuno,たとえば、の話
main3-1,talk,natsuno,たとえば、アカネさんが言ってたことが本当で
main3-1,talk,natsuno,宇宙人みたいなのが、いたとして
main3-1,talk,natsuno,わたしたちに、何かメッセージを送ってるんだとして......
main3-1,talk,natsuno,宇宙人は、何を伝えようとしてるんだろ
main3-1,talk,natsuno,地球を滅ぼそうとしてるのかな
main3-1,talk,natsuno,それとも、助けを求めてるのかな
main3-1,talk,natsuno,もしかしたら、ただ『こんにちは』って言ってるだけだったりして
main3-1,talk,natsuno,それに返事しようとして、わたしたちの身体が変になっちゃってるんだとしたら
main3-1,talk,natsuno,すごい迷惑だけど
main3-1,talk,natsuno,でも......
main3-1,talk,natsuno,そんな気もするんだよね
main3-1,talk,natsuno,アカネさんが言ってたみたいに、宇宙人って、たぶんわたしたちとは全然違うからさ
main3-1,talk,natsuno,身体からアンテナ生やすのが、挨拶なのかも
main3-1,talk,natsuno,......はは
main3-1,talk,natsuno,アカネさんの話、真に受けすぎか
main3-1,talk,natsuno,アカネさんに聞かれたら......きっと笑われるんだろうな
main3-1,talk,natsuno,......
main3-1,talk,natsuno,......ね
main3-1,talk,natsuno,わたしたちが初めて話したときのこと、憶えてる？
main3-1,talk,natsuno,......憶えてるよね
main3-1,talk,natsuno,そんな昔のことでもないし
main3-1,talk,natsuno,あのとき......実は、結構つらくってさ
main3-1,talk,natsuno,暑くて、それに、何日か食べ物が見つかってなかったっていうのもあるけど
main3-1,talk,natsuno,それより......
main3-1,talk,natsuno,......
main3-1,talk,natsuno,......寂しかったんだ
main3-1,talk,natsuno,何日も一人で過ごしてて
main3-1,talk,natsuno,平気だよ
main3-1,talk,natsuno,前も言ったけど、すぐ慣れちゃうから
main3-1,talk,natsuno,一人でいる時間が長くても、全然平気だったんだけど
main3-1,talk,natsuno,でも......なんていうか
main3-1,talk,natsuno,今思ったら、全然そんなことなかったっていうか
main3-1,talk,natsuno,平気じゃないのに慣れて、平気になってたっていうか
main3-1,talk,natsuno,......うまく言えないけど
main3-1,talk,natsuno,とにかく
main3-1,talk,natsuno,あのとき話をしてくれて、うれしかったんだって、こと
main3-1,talk,natsuno,......はは
main3-1,talk,natsuno,なんか照れるね
main3-1,talk,natsuno,......
main3-1,pauseBgm
main3-1,talk,natsuno,......でも
main3-1,talk,natsuno,だから
main3-1,talk,natsuno,わたし、思うんだ
main3-1,talk,natsuno,もしかしたら......
main3-1,talk,natsuno,逆なのかも、って
main3-1,wait,2
main3-1,end,questSuccess
-,,,
main3-2,bg,computer00
main3-2,wait,2
main3-2,talk,,──帰ろう。
main3-2,talk,,彼女は言った。
main3-2,talk,,いつもの調子で。
main3-2,talk,,なんでもないみたいに。
main3-2,wait,1
main3-2,fadeOutTextLine
main3-2,newPage
main3-2,fadeInTextLine
main3-2,wait,1
main3-2,playBgm,scenario01
main3-2,talk,,けれど、車のエンジンがかかるまで、長い沈黙があった。
main3-2,talk,,アクセルを踏み出すまでには、もっとかかった。
main3-2,talk,,彼女は何も言わなかった。
main3-2,talk,,運転をしている間、彼女はあまり喋らない。
main3-2,talk,,集中しているからかもしれないし、ただ何も考えていないだけかもしれない。
main3-2,talk,,エンジン音で声が聞き取りにくいというのもあるだろう。
main3-2,talk,,彼女は何も言わなかったけれど、
main3-2,talk,,でも、普段と違うところへ向かっているのは、わかった。
main3-2,talk,,ハンドルの切り方も、アクセルの踏み方も、いつもと違った。
main3-2,talk,,どこへ向かっているのか。
main3-2,talk,,何を考えているのか。
main3-2,talk,,問おうとして、でも、やめた。
main3-2,talk,,やがて車が止まり、運転席のドアが開けられるまで、彼女は何も言わなかった。
main3-2,wait,2
main3-2,end,questSuccess
-,,,
main3-3,bg,scenario09
main3-3,fgClear
main3-3,playBgm,environment02
main3-3,talk,natsuno,......
main3-3,talk,natsuno,............
main3-3,talk,natsuno,......あーあ
main3-3,talk,natsuno,ここ......どこだろ
main3-3,talk,natsuno,......さむ
main3-3,talk,natsuno,高いところだからかな......
main3-3,talk,natsuno,ちょっと冷える......
main3-3,talk,natsuno,よくわかんないとこまで、来ちゃったなー
main3-3,talk,natsuno,......
main3-3,fg,survivor00,right-right,0.5,depress
main3-3,talk,natsuno,......ごめんね
main3-3,playBgm,scenario03
main3-3,talk,natsuno,何も言わないで
main3-3,fg,survivor00,right-right,0.5,serious
main3-3,talk,natsuno,でも、わたし、もう決めちゃった
main3-3,talk,natsuno,帰んないって
main3-3,talk,natsuno,......
main3-3,talk,natsuno,......ってゆーか、もう帰り道わかんないし
main3-3,talk,natsuno,あのキャンプには......もう、帰れない
main3-3,talk,natsuno,......や
main3-3,talk,natsuno,別に、キャンプから出て行って、それで何か
main3-3,talk,natsuno,解決するわけでも......ないんだけど
main3-3,fg,survivor00,right-right,0.5,depress
main3-3,talk,natsuno,......ごめんね
main3-3,talk,natsuno,うまく言えないや
main3-3,fg,survivor00,right-right,0.5,serious
main3-3,talk,natsuno,もし......
main3-3,talk,natsuno,いつか、うまく説明できるようになったら
main3-3,talk,natsuno,ちゃんと言うから
main3-3,talk,natsuno,それまで......待ってほしいな
main3-3,talk,natsuno,......
main3-3,talk,natsuno,......とにかく、決めたから
main3-3,talk,natsuno,しばらく、また一人で旅するよ
main3-3,talk,natsuno,......そうそう、あなたと一緒に、二人で
main3-3,fg,survivor00,right-right,0.5,default
main3-3,talk,natsuno,行くあて？
main3-3,talk,natsuno,そんなの......ないよ
main3-3,talk,natsuno,前みたいに、気の向くまま
main3-3,talk,natsuno,北に北に......
main3-3,talk,natsuno,北に進んだって、別に何があるってわけでもないけど
main3-3,talk,natsuno,東京に戻ってもしょうがないし
main3-3,talk,natsuno,とにかく......進むよ
main3-3,talk,natsuno,......
main3-3,fg,survivor00,right-right,0.5,serious
main3-3,talk,natsuno,勝手に決めちゃったけど......でも、いいよね
main3-3,talk,natsuno,あなたが困ることって......
main3-3,talk,natsuno,たぶん、ないでしょ？
main3-3,wait,2
main3-3,end,questSuccess
-,,,
main3-4,bg,scenario03
main3-4,fg,survivor00,right-right,0,serious
main3-4,playBgm,environment08
main3-4,talk,natsuno,......ねぇ
main3-4,talk,natsuno,何か言ってみて
main3-4,talk,natsuno,......や、なんでもいいから
main3-4,talk,natsuno,ちょっと実験してみようと思って
main3-4,talk,natsuno,わたし、ちょっと返事できないかもだけど
main3-4,talk,natsuno,一人で、何か喋ってくれない？
main3-4,talk,natsuno,お願い
main3-4,fgRemove,survivor00,1
main3-4,wait,1
main3-4,waitCall,someThing,input0,input0
main3-4,label,input0
main3-4,waitCall,someThing,input1,input1
main3-4,label,input1
main3-4,waitCall,someThing,input2,input2
main3-4,label,input2
main3-4,wait,2
main3-4,talk,natsuno,......
main3-4,fg,survivor00,right-right,0.5,serious
main3-4,wait,1
main3-4,talk,natsuno,......ありがと
main3-4,fg,survivor00,right-right,0.5,depress
main3-4,talk,natsuno,......やっぱ
main3-4,talk,natsuno,思ったとおり
main3-4,talk,natsuno,わたしがスマホから離れると......
main3-4,fg,survivor00,right-right,0.5,doubt
main3-4,talk,natsuno,あなたの声、受信できなくなっちゃうみたい
main3-4,wait,1
main3-4,pauseBgm
main3-4,fadeOut,1
main3-4,newPage
main3-4,fg,survivor00,right-right,0,default
main3-4,wait,3
main3-4,fadeIn,1
main3-4,wait,1
main3-4,playBgm,character00
main3-4,talk,natsuno,そーいえばさ
main3-4,talk,natsuno,あなたって、わたしと話してないとき、何してるの？
main3-4,talk,natsuno,何っていうか
main3-4,talk,natsuno,働いてる？
main3-4,talk,natsuno,それとも、学生とか？
main3-4,talk,natsuno,......
main3-4,waitCall,doNotKnow,ok,ng
main3-4,label,ok
main3-4,fg,survivor00,right-right,0.5,zito
main3-4,talk,natsuno,わかんないって......
main3-4,talk,natsuno,そんなことある？
main3-4,talk,natsuno,......まぁ、いいけど
main3-4,jump,confluence
main3-4,label,ng
main3-4,talk,natsuno,へぇ......
main3-4,talk,natsuno,そうなんだ......
main3-4,jump,confluence
main3-4,label,confluence
main3-4,fg,survivor00,right-right,0.5,default
main3-4,talk,natsuno,......
main3-4,talk,natsuno,そーだよね
main3-4,talk,natsuno,考えてみると
main3-4,talk,natsuno,わたし......あなたのこと、全然知らない
main3-4,talk,natsuno,普段どんなことしてるのかとか
main3-4,talk,natsuno,誰と住んでるのかとか
main3-4,talk,natsuno,恋人はいるのかとか
main3-4,talk,natsuno,......
main3-4,fg,survivor00,right-right,0.5,serious
main3-4,talk,natsuno,......まぁでも
main3-4,talk,natsuno,いいや
main3-4,talk,natsuno,知らないままで
main3-4,talk,natsuno,ごめん
main3-4,talk,natsuno,やっぱ、聞かなかったことにして
main3-4,talk,natsuno,あなたのこと、知ったって.......
main3-4,talk,natsuno,......困っちゃうもん
main3-4,fg,survivor00,right-right,0.5,smile
main3-4,talk,natsuno,......はは
main3-4,talk,natsuno,ごめんね
main3-4,fg,survivor00,right-right,0.5,depress
main3-4,talk,natsuno,......
main3-4,end,questSuccess
-,,,
main3-5,bg,location42
