id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main15-1,bg,computer00
main15-1,wait,5
main15-1,talk,,いきなり、彼女と通話が繋がった。
main15-1,talk,,目が覚めたのだろうか？
main15-1,talk,,今、どこにいるのだろうか？
main15-1,talk,,スマホの電源が入っていない、というのは、どういうことなのだろうか──
main15-1,wait,1
main15-1,fadeOutTextLine
main15-1,newPage
main15-1,fadeInTextLine
main15-1,playBgm,scenario06
main15-1,wait,1
main15-1,talk,,わからないことばかりだった。
main15-1,talk,,でも、とにかく彼女から話を聞くしかなかった。
main15-1,talk,,初めて出会ったときと同じように。
main15-1,talk,,彼女が今いる世界のことを、彼女の言葉で、一つひとつ教えてもらう。
main15-1,talk,,すぐ隣にいるわけではないから、そうして、言葉で伝えるしかない。
main15-1,wait,1
main15-1,fadeOutTextLine
main15-1,newPage
main15-1,fadeInTextLine
main15-1,wait,1
main15-1,bg,scenario24,2.0,1
main15-1,wait,3
main15-1,talk,,彼女は、気がついたらそこにいたのだと言った。
main15-1,talk,,そこがどこなのかはわからない。
main15-1,talk,,それどころか、目の前に広がっている景色を説明することさえ難しいらしい。
main15-1,talk,,今、このコンピュータは、おそらくスマホと繋がっているわけではない。
main15-1,talk,,向こうから届くのは彼女の声だけで、映像は映らない。
main15-1,talk,,聞こえる音と、彼女の声に耳を傾けるしかない。
main15-1,wait,3
main15-1,end,questSuccess
-,,,
main15-2,bg,scenario24
main15-2,fgClear
main15-2,playBgm,scenario07
main15-2,wait,3
main15-2,fg,survivor00,right-right,1.0,serious
main15-2,talk,natsuno,......なんて言ったらいいんだろ
main15-2,talk,natsuno,夜空の中......っていうか
main15-2,talk,natsuno,それも違うな......
main15-2,talk,natsuno,うーん......
main15-2,talk,natsuno,......目を閉じたときに、まぶたの裏に模様が見えるとき、あるじゃん？
main15-2,talk,natsuno,なんか......そんな感じ
main15-2,talk,natsuno,マーブル模様っていうか......
main15-2,talk,natsuno,暗いんだけど、真っ暗じゃなくて
main15-2,talk,natsuno,ときどき、何かの模様みたいなのが、ふわっと見えて、消えてく......
main15-2,talk,natsuno,そんなのが、ずっと続いてるの
main15-2,talk,natsuno,壁とか、そういうのは何もなくて......
main15-2,talk,natsuno,立ってるけど、地面も見えない
main15-2,talk,natsuno,そんな変な景色が、ずっと続いてるっぽい......
main15-2,talk,natsuno,......
main15-2,talk,natsuno,......なんなんだろ、ここ
main15-2,talk,natsuno,わたし......どうしちゃったんだろ
main15-2,wait,3
main15-2,fadeOut,1
main15-2,pauseBgm
main15-2,wait,5
main15-2,newPage
main15-2,fg,survivor00,right-right,0,depress
main15-2,fadeIn,1
main15-2,wait,1
main15-2,playBgm,scenario06
main15-2,talk,natsuno,......そっか
main15-2,talk,natsuno,わたし、ずっと眠ってたんだ
main15-2,talk,natsuno,......アカネさんにも、イツカにも
main15-2,talk,natsuno,迷惑、かけちゃったな
main15-2,talk,natsuno,......
main15-2,talk,natsuno,......でも
main15-2,talk,natsuno,ってことは、ここは......夢の中、なのかな
main15-2,talk,natsuno,そう思うのが一番普通な気がする......
main15-2,talk,natsuno,だって、わけわかんないもん
main15-2,talk,natsuno,あなたと話せてるのは、謎だけど......
