id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
minamo1-1,bg,scenario25
minamo1-1,playBgm,environment00
minamo1-1,talk,natsuno,......あ
minamo1-1,talk,natsuno,......
minamo1-1,talk,natsuno,......ね
minamo1-1,talk,natsuno,あそこ、人がいる
minamo1-1,talk,natsuno,女の子......みたい
minamo1-1,talk,natsuno,あんなところで寝そべって......
minamo1-1,talk,natsuno,昼寝......してるのかな
minamo1-1,talk,natsuno,......
minamo1-1,talk,natsuno,......なんか
minamo1-1,talk,natsuno,のどかだね
minamo1-1,talk,natsuno,......
minamo1-1,talk,natsuno,......あ
minamo1-1,talk,natsuno,こっち見た
minamo1-1,talk,natsuno,......
minamo1-1,talk,natsuno,......え
minamo1-1,talk,natsuno,なんか逃げようとしてる......？
minamo1-1,talk,natsuno,......
minamo1-1,talk,natsuno,......ねぇ！
minamo1-1,talk,natsuno,ちょっと！
minamo1-1,talk,natsuno,待ってよ......！
minamo1-1,wait,2
minamo1-1,fadeOut,1
minamo1-1,newPage
minamo1-1,pauseBgm
minamo1-1,wait,1
minamo1-1,fadeIn,1
minamo1-1,playBgm,character05
minamo1-1,talk,natsuno,......
minamo1-1,talk,???,......
minamo1-1,talk,natsuno,............
minamo1-1,talk,???,............
minamo1-1,talk,natsuno,......なんで、逃げたの？
minamo1-1,wait,1
minamo1-1,fg,survivor05,right-left,0.5
minamo1-1,wait,2
minamo1-1,talk,???,......
minamo1-1,talk,???,......感染者だと思って
minamo1-1,talk,natsuno,......
minamo1-1,talk,natsuno,......そっか
minamo1-1,talk,natsuno,ごめん、びっくりさせちゃった
minamo1-1,talk,???,......
minamo1-1,talk,???,......あー
minamo1-1,talk,???,えー
minamo1-1,talk,???,めっちゃいい人じゃん......
minamo1-1,talk,natsuno,......？
minamo1-1,fg,survivor05,right-left,0.5,depress
minamo1-1,talk,???,うぅ......
minamo1-1,talk,???,......うそです
minamo1-1,talk,natsuno,え......
minamo1-1,talk,???,ナツノさんだって......遠目にわかったから
minamo1-1,talk,???,思わず......逃げました
minamo1-1,talk,natsuno,......え？
minamo1-1,talk,natsuno,なんで......？
minamo1-1,talk,natsuno,......
minamo1-1,talk,natsuno,......っていうか
minamo1-1,talk,natsuno,なんで、名前
minamo1-1,talk,natsuno,知ってるの......？
minamo1-1,wait,2
minamo1-1,fadeOut,1
minamo1-1,newPage
minamo1-1,fg,survivor05,right-left,0,default
minamo1-1,wait,1
minamo1-1,fadeIn,1
minamo1-1,wait,1
minamo1-1,talk,natsuno,じゃあ......ほんとに
minamo1-1,talk,natsuno,あのとき、スマホ拾ってくれた......ミナモさん、なんだ
minamo1-1,talk,minamo,......そーだね
minamo1-1,talk,minamo,あのときの、ミナモさんです
minamo1-1,talk,minamo,スマホの向こうのきみも、お久しぶり
minamo1-1,fg,survivor00,right-right,0.5,serious
minamo1-1,talk,natsuno,......
minamo1-1,talk,natsuno,......あのときは
minamo1-1,talk,natsuno,ありがとう
minamo1-1,talk,minamo,......
minamo1-1,fg,survivor05,right-left,0.5,smile
minamo1-1,talk,minamo,......ふーん
minamo1-1,talk,minamo,ありがた迷惑っていうか
minamo1-1,talk,minamo,余計なお世話にならんかったんなら
minamo1-1,talk,minamo,よかったよ
minamo1-1,talk,natsuno,......うん
minamo1-1,fg,survivor00,right-right,0.5,default
minamo1-1,talk,natsuno,でも
minamo1-1,talk,natsuno,なんで、直接、渡してくれなかったの？
minamo1-1,talk,natsuno,わたしの顔知ってるってことは
minamo1-1,talk,natsuno,すぐそこまで、来てたんでしょ？
minamo1-1,talk,minamo,......
minamo1-1,fg,survivor05,right-left,0.5,default
minamo1-1,talk,minamo,......あー
minamo1-1,talk,minamo,......
minamo1-1,talk,natsuno,......言いにくいこと？
minamo1-1,talk,natsuno,なら......まぁ、いいけど
minamo1-1,talk,minamo,言いにくいっていうか
minamo1-1,talk,minamo,言いにくいいっちゃ言いにくいんだけど
minamo1-1,talk,minamo,......
