id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
promote1-1,bg,location14
promote1-1,playBgm,environment04
promote1-1,wait,2
promote1-1,talk,natsuno,......あ
promote1-1,talk,natsuno,......？
promote1-1,talk,natsuno,これ......
promote1-1,talk,natsuno,ん－......
promote1-1,talk,natsuno,なんで、こんなところに置いてあるんだろ
promote1-1,talk,natsuno,誰かの忘れもの......
promote1-1,talk,natsuno,だよね、たぶん......
promote1-1,talk,natsuno,こんなところに置き忘れるかな......
promote1-1,talk,natsuno,これ......
promote1-1,talk,natsuno,<red>ビーズの指輪</red>......
promote1-1,talk,natsuno,手づくり......みたい
promote1-1,talk,natsuno,淡い水色と、真っ白の......
promote1-1,talk,natsuno,......
promote1-1,talk,natsuno,どんな人が、どんなこと思って、つくったんだろ......
promote1-1,talk,natsuno,誰かへの贈りものだったのかな
promote1-1,talk,natsuno,それとも、自分用？
promote1-1,talk,natsuno,......
promote1-1,talk,natsuno,......なんとなく
promote1-1,talk,natsuno,贈りものな気がする
promote1-1,talk,natsuno,誰かのこと想って、つくった、みたいな......
promote1-1,talk,natsuno,......そんな気がする
promote1-1,talk,natsuno,......
promote1-1,talk,natsuno,こういうの、自分でつくれるって、すごいよね......
promote1-1,talk,natsuno,ビーズアクセサリーかぁ......
promote1-1,talk,natsuno,高校のクラスメイトに、そういうの好きでやってる子いたけど
promote1-1,talk,natsuno,わたしには無理、って思っちゃったなー
promote1-1,talk,natsuno,こんな小さいビーズ、絶対すぐなくすよ
promote1-1,talk,natsuno,ひっくり返してバラまいて、絶望する......
promote1-1,talk,natsuno,のが、想像できるもん......
promote1-1,talk,natsuno,で、部屋に落ちてるの踏んで、嫌になる......
promote1-1,fg,survivor00,right-right,0.5,zito
promote1-1,talk,natsuno,......ありそう
promote1-1,talk,natsuno,あんまり手先器用じゃないし、わたし
promote1-1,fg,survivor00,right-right,0.5,default
promote1-1,talk,natsuno,......それとも、こういうのやってる人も
promote1-1,talk,natsuno,そういうの乗り越えながらやってるのかな......
promote1-1,talk,natsuno,......
promote1-1,fg,survivor00,right-right,0.5,serious
promote1-1,talk,natsuno,......誰が
promote1-1,talk,natsuno,誰が、どんな気持ちでつくったんだろ
promote1-1,fg,survivor00,right-right,0.5,smile
promote1-1,talk,natsuno,......ちょっと、不思議だね
promote1-1,talk,natsuno,こういうの見ると......自然と、つくった人のこと考えちゃう
promote1-1,talk,natsuno,誰かが、誰かのことを想ってつくったんだな、って
promote1-1,fg,survivor00,right-right,0.5,depress
promote1-1,talk,natsuno,きっと、まだこんなことになっちゃう前に......
promote1-1,talk,natsuno,......
promote1-1,fg,survivor00,right-right,0.5,default
promote1-1,talk,natsuno,......これ
promote1-1,talk,natsuno,もらっても、いいかな
promote1-1,talk,natsuno,わたしのためにつくられたものじゃないだろうけど
promote1-1,talk,natsuno,ここにあっても、汚れちゃうだけだろうし......
promote1-1,talk,natsuno,......それに
promote1-1,talk,natsuno,すごく......好きな色、なんだよね
promote1-1,talk,natsuno,青色のこと、好きとも嫌いとも思ったことないけど......
promote1-1,talk,natsuno,この青は......なんか、好き......だな
promote1-1,talk,natsuno,......
promote1-1,fg,survivor00,right-right,0.5,smile
promote1-1,talk,natsuno,......うん
promote1-1,talk,natsuno,サイズは、ぴったり
promote1-1,talk,natsuno,......
promote1-1,talk,natsuno,きれいな色......
promote1-1,talk,natsuno,......んー
promote1-1,talk,natsuno,涼しい日の、空の色
promote1-1,wait,2
promote1-1,end,questSuccess
-,,,
