id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
shino2-1,bg,scenario05
shino2-1,fgClear
shino2-1,playBgm,environment00
shino2-1,talk,???,ねぇ！
shino2-1,wait,1
shino2-1,bg,scenario24,1.0,1
shino2-1,pauseBgm
shino2-1,wait,1
shino2-1,talk,???,だーれだ！
shino2-1,talk,natsuno,え......
shino2-1,talk,natsuno,だれ......？
shino2-1,wait,1
shino2-1,bgFadeOut,2.0,1
shino2-1,wait,1
shino2-1,fg,survivor00,right-right,1.0
shino2-1,talk,natsuno,え......？
shino2-1,wait,1
shino2-1,camera,event-focusFg-left00
shino2-1,wait,1
shino2-1,talk,???,じゃーん！
shino2-1,playBgm,environment00
shino2-1,fg,survivor02,right-left,1.0,smile
shino2-1,wait,1
shino2-1,talk,shino,シノちゃんでした！
shino2-1,talk,shino,どう？
shino2-1,talk,shino,びっくりした？
shino2-1,talk,shino,びっくりしたんじゃない？
shino2-1,talk,natsuno,......
shino2-1,talk,shino,......
shino2-1,talk,natsuno,............
shino2-1,fg,survivor02,right-left,0.5,default
shino2-1,talk,shino,......ナツノちゃん？
shino2-1,camera,event-reset01
shino2-1,wait,2
shino2-1,talk,natsuno,......びっくりしたっていうか
shino2-1,talk,natsuno,え......？
shino2-1,wait,1
shino2-1,fadeOut,1
shino2-1,camera,event-reset00
shino2-1,newPage
shino2-1,fg,survivor00,right-right,0,zito
shino2-1,fg,survivor02,right-left,0,smile
shino2-1,wait,1
shino2-1,playBgm,character02
shino2-1,fadeIn,1
shino2-1,talk,natsuno,ほんと
shino2-1,talk,natsuno,心臓止まるかと思ったって
shino2-1,talk,shino,あははは
shino2-1,talk,shino,ナツノちゃんの心臓はこれくらいじゃ止まらないよ！
shino2-1,talk,shino,だいじょーぶ！
shino2-1,talk,natsuno,......失礼じゃない？
shino2-1,talk,shino,心臓に毛生えてるもんね
shino2-1,talk,natsuno,......失礼すぎない？
shino2-1,talk,shino,だって、そうじゃん？
shino2-1,talk,natsuno,......
shino2-1,talk,natsuno,......そうかもだけど
shino2-1,talk,natsuno,そうじゃないところも、ある
shino2-1,fg,survivor02,right-left,0.5,default
shino2-1,talk,shino,......？
shino2-1,talk,shino,ほほう？
shino2-1,talk,shino,何かあった？
shino2-1,talk,shino,あたしとさよならしてから
shino2-1,fg,survivor00,right-right,0.5,default
shino2-1,talk,natsuno,......まぁ
shino2-1,talk,natsuno,いろいろと
shino2-1,fg,survivor02,right-left,0.5,smile
shino2-1,talk,shino,へぇぇ？
shino2-1,talk,shino,そっかぁ
shino2-1,talk,shino,いろいろかぁ
shino2-1,talk,shino,ナツノちゃんも乙女になっちゃてー
shino2-1,fg,survivor00,right-right,0.5,zito
shino2-1,talk,natsuno,......
shino2-1,talk,natsuno,......なに想像してるか知らないけど
shino2-1,talk,natsuno,たぶん、そうじゃない
shino2-1,talk,natsuno,......
shino2-1,fg,survivor00,right-right,0.5,serious
shino2-1,talk,natsuno,......それより
shino2-1,talk,natsuno,シノは......
shino2-1,talk,shino,うん？
shino2-1,talk,natsuno,......帰れたの？
shino2-1,talk,natsuno,故郷
shino2-1,talk,shino,......
shino2-1,talk,shino,......もちろん
shino2-1,talk,shino,だから、会いに来たんだよ
shino2-1,talk,shino,故郷に帰れて、こっちに戻ってこれたらまた会おうって
shino2-1,talk,shino,約束したからね
shino2-1,fg,survivor00,right-right,0.5,smile
shino2-1,talk,natsuno,......うん
shino2-1,talk,natsuno,憶えてる
shino2-1,talk,natsuno,......
shino2-1,talk,natsuno,ええと......
shino2-1,talk,natsuno,......おかえり？
shino2-1,fg,survivor02,right-left,0.5,default
shino2-1,talk,shino,......
shino2-1,fg,survivor02,right-left,0.5,smile
shino2-1,talk,shino,......はは
shino2-1,talk,shino,うん
shino2-1,talk,shino,ただいま！
shino2-1,wait,1
shino2-1,appendSurvivor,shino
shino2-1,end,questSuccess
-,,,
shino2-2,bg,scenario05
shino2-2,fg,survivor00,right-right,0,default
shino2-2,fg,survivor02,right-left,0,default
shino2-2,playBgm,character02
shino2-2,wait,1
shino2-2,talk,natsuno,......ってわけ
shino2-2,talk,shino,......
shino2-2,talk,shino,............
shino2-2,talk,shino,........................
shino2-2,talk,shino,......いやいや
shino2-2,talk,shino,ってわけ、みたいな話じゃなかったくない？
shino2-2,talk,shino,なにそれ
shino2-2,talk,shino,あたしとさよならしたあと、そんな壮大なことになってたの......？
shino2-2,talk,natsuno,まぁ......
shino2-2,talk,natsuno,壮大といえば壮大だし
shino2-2,talk,natsuno,何もなかったといえば、何もなかったというか
shino2-2,talk,shino,いや壮大でしょ
shino2-2,talk,shino,壮大過ぎて、正直、全然わかんなかったよ
shino2-2,talk,shino,信じられないっていうか......え？
shino2-2,talk,shino,ここってコンピュータの中にある世界なの？
shino2-2,talk,shino,そんなわけなくない？
shino2-2,talk,shino,......
shino2-2,talk,shino,......そんなわけ、ある？
shino2-2,talk,natsuno,......
shino2-2,fg,survivor00,right-right,0.5,smile
shino2-2,talk,natsuno,......ははは
shino2-2,talk,natsuno,なんか、シノは元気で
shino2-2,talk,natsuno,よかった
shino2-2,talk,shino,笑いごとじゃないんだけど
shino2-2,talk,shino,......
shino2-2,talk,shino,......あーあ
shino2-2,talk,shino,今は、まだ全然信じらんないから平気だけど
shino2-2,talk,shino,夜中、寝る前とかすんごく怖くなるような気がしてきた
shino2-2,talk,shino,もー
shino2-2,talk,shino,ナツノちゃんのせいじゃん
shino2-2,fg,survivor00,right-right,0.5,default
shino2-2,talk,natsuno,わたしのせい、なの......？
shino2-2,talk,shino,ナツノちゃんのせいでしょ......
shino2-2,talk,natsuno,......
shino2-2,talk,natsuno,......まぁ
shino2-2,talk,natsuno,そういうわけだから
shino2-2,talk,natsuno,この話は、これでおしまい
shino2-2,talk,natsuno,それより、シノの話、聞かせてよ
shino2-2,talk,natsuno,故郷に帰ってみてどうだった？　とか
shino2-2,talk,natsuno,いろいろあるでしょ？
shino2-2,talk,shino,えー？
shino2-2,talk,shino,この話のあとに......？
shino2-2,talk,shino,......まぁ
shino2-2,talk,shino,これ以上聞いても、頭の中ごちゃごちゃになりそうだから
shino2-2,talk,shino,わかったよ......あたしの話、ね
shino2-2,talk,shino,えーと......何から話そうかな
shino2-2,talk,natsuno,んー......
shino2-2,talk,natsuno,そもそも、どうやって故郷まで帰ったの？
shino2-2,talk,natsuno,歩いて帰った......わけないよね？
shino2-2,talk,shino,あー
shino2-2,talk,shino,そうだね
shino2-2,fg,survivor02,right-left,0.5,smile
shino2-2,talk,shino,じゃあ、その話からにしよ！
shino2-2,talk,shino,あーあ！
shino2-2,talk,shino,ナツノちゃんにも会わせたかったなー！
shino2-2,talk,natsuno,？
shino2-2,talk,shino,あたし、最初はもちろん、長野に向かって一人寂しく歩いてたんだけど
shino2-2,talk,shino,ナツノちゃんと別れて、何日かした頃だったかな
shino2-2,talk,shino,大きい道路を歩いてるところで、ある人に会ったの
