id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
shop1-1,bg,scenario16
shop1-1,fg,survivor00,right-right,0
shop1-1,playBgm,environment01
shop1-1,talk,natsuno,あ
shop1-1,talk,natsuno,いた......
shop1-1,talk,natsuno,メグル
shop1-1,fg,survivor04,right-left,1.0,default,mask
shop1-1,playBgm,character04
shop1-1,talk,meguru,あー！
shop1-1,talk,meguru,ナツノちゃん！
shop1-1,fg,survivor04,right-left,0.5,smile,mask
shop1-1,talk,meguru,はぁーい！
shop1-1,talk,meguru,なんで、うちがここいるってわかったの？
shop1-1,talk,natsuno,んー......この絵はがき拾って
shop1-1,talk,natsuno,ここかなって
shop1-1,talk,meguru,あ！
shop1-1,talk,meguru,それ、うちが描いたやつだね！
shop1-1,talk,meguru,なるほどー！
shop1-1,fg,survivor04,right-left,0.5,default,mask
shop1-1,talk,meguru,......
shop1-1,talk,meguru,......絵はがきに描いてあったからって
shop1-1,talk,meguru,そこにいるって思わなくない......？
shop1-1,talk,natsuno,......確かに？
shop1-1,talk,meguru,......
shop1-1,talk,meguru,............
shop1-1,fg,survivor04,right-left,0.5,depress,mask
shop1-1,talk,meguru,......もしかして
shop1-1,talk,meguru,うちの、ストーカーっすか......？
shop1-1,fg,survivor00,right-right,0.5,zito
shop1-1,talk,natsuno,......
shop1-1,talk,meguru,......
shop1-1,fg,survivor04,right-left,0.5,despair,mask
shop1-1,talk,meguru,......すみません
shop1-1,talk,meguru,そ、そんなわけ......ないっすよね......
shop1-1,talk,meguru,ゆるしてください......
shop1-1,talk,natsuno,......
shop1-1,fg,survivor04,right-left,0.5,default,mask
shop1-1,talk,meguru,あ！
shop1-1,talk,meguru,そうそう！
shop1-1,talk,meguru,最近拾ったもの、見せたげるー！
shop1-1,talk,meguru,何かと交換してよー
shop1-1,talk,natsuno,......
shop1-1,fg,survivor00,right-right,0.5,default
shop1-1,talk,natsuno,えーと......
shop1-1,event,shopping00
shop1-1,talk,meguru,まいどあり！
shop1-1,talk,meguru,また絵はがき見つけたら、会いに来てね！
shop1-1,talk,meguru,今後とも、ご贔屓にー！
shop1-1,talk,meguru,......
shop1-1,fg,survivor04,right-left,0.5,depress,mask
shop1-1,talk,meguru,ほんとに、ストーカーじゃないっすよね......？
shop1-1,fg,survivor00,right-right,0.5,zito
shop1-1,talk,natsuno,......違うって
shop1-1,fg,survivor04,right-left,0.5,default,mask
shop1-1,talk,meguru,ですよね！
shop1-1,fg,survivor04,right-left,0.5,smile,mask
shop1-1,talk,meguru,じゃ、またね！
shop1-1,talk,natsuno,またね......
shop1-1,wait,1
shop1-1,end,questSuccess
-,,,
shop100-1,bg,scenario16
shop100-1,fgClear
shop100-1,playBgm,environment01
shop100-1,wait,3
shop100-1,fg,survivor04,right-left,1.0,default,mask
shop100-1,talk,meguru,......
shop100-1,talk,meguru,............
shop100-1,talk,natsuno,......
shop100-1,fg,survivor04,right-left,0.5,sad,mask
shop100-1,talk,meguru,......え
shop100-1,talk,natsuno,......
shop100-1,fg,survivor04,right-left,0.5,depress,mask
shop100-1,talk,meguru,......えー
shop100-1,talk,meguru,ど、どどど
shop100-1,talk,meguru,ど、どう......した......んすか......？
shop100-1,talk,natsuno,......
shop100-1,talk,meguru,......
shop100-1,talk,meguru,............
shop100-1,fg,survivor04,right-left,0.5,default,mask
shop100-1,talk,meguru,......あ！
shop100-1,talk,meguru,わかった！
shop100-1,talk,meguru,ハロウィンね！
shop100-1,talk,meguru,おっけーおっけー、そうっすよね、ハロウィン......
shop100-1,talk,meguru,......
shop100-1,fg,survivor04,right-left,0.5,depress,mask
shop100-1,talk,meguru,......いや
shop100-1,talk,meguru,今、夏なんすけど......
shop100-1,talk,natsuno,......
shop100-1,talk,meguru,でも......
shop100-1,talk,meguru,ナツノちゃんがそういうことしてるって、なんかイメージないっていうか......
shop100-1,talk,meguru,ハロウィンとか、イベントごとでもないと、しそうにないっていうか......
shop100-1,talk,meguru,なんなら、イベントでもそんなことしてくれなさそう、っていうか......
shop100-1,talk,meguru,えー......なんだろ
shop100-1,fg,survivor04,right-left,0.5,default,mask
shop100-1,talk,meguru,......あ
shop100-1,talk,meguru,ナツノちゃんじゃ、ない......とか？
shop100-1,talk,meguru,......
shop100-1,talk,meguru,............
shop100-1,fg,survivor04,right-left,0.5,depress,mask
shop100-1,talk,meguru,......だとしたら、ウチ、ガチの不審者じゃね？
shop100-1,talk,natsuno,......
shop100-1,talk,meguru,......
shop100-1,talk,meguru,............
shop100-1,talk,natsuno,......ト
shop100-1,talk,meguru,......
shop100-1,talk,meguru,......ト？
shop100-1,wait,1
shop100-1,fg,survivor00,right-right,2.0,shy,devil
shop100-1,talk,natsuno,......トリック
shop100-1,talk,natsuno,......オア
shop100-1,talk,natsuno,......トリート
shop100-1,talk,meguru,......
shop100-1,wait,3
shop100-1,fadeOut,1
shop100-1,newPage
shop100-1,wait,1
shop100-1,fg,survivor04,right-left,0,sad,mask
shop100-1,fadeIn,1
shop100-1,playBgm,character04
shop100-1,wait,3
shop100-1,talk,meguru,......そ、
shop100-1,talk,meguru,そーっすよね！
shop100-1,talk,meguru,ハロウィン！
shop100-1,talk,meguru,ハロウィンっすよね！　そりゃね！
shop100-1,talk,meguru,いや～もうそんな季節か～
shop100-1,talk,meguru,そっすよねー......
shop100-1,talk,meguru,......
shop100-1,talk,natsuno,......
shop100-1,talk,meguru,......
shop100-1,fg,survivor04,right-left,0.5,depress,mask
shop100-1,talk,meguru,......なんで、そんなカッコーしてるんすか......？
shop100-1,talk,meguru,めちゃアツ、スーパーサマーデイ、って感じなんだけど
shop100-1,talk,meguru,ウチをびっくりさせようとして......とか......？
shop100-1,talk,natsuno,......
