id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
sub-natsuno1-1,bg,scenario00
sub-natsuno1-1,fg,survivor00,right-right,0,serious
sub-natsuno1-1,playBgm,character00
sub-natsuno1-1,talk,natsuno,......料理、したくないなぁ
sub-natsuno1-1,talk,natsuno,めんどいなぁ......
sub-natsuno1-1,talk,natsuno,......
sub-natsuno1-1,fg,survivor00,right-right,0.5,default
sub-natsuno1-1,talk,natsuno,やってくんない？
sub-natsuno1-1,talk,natsuno,......ってわけにも、いかないよねぇ
sub-natsuno1-1,talk,natsuno,......うーん
sub-natsuno1-1,talk,natsuno,めんどい......
sub-natsuno1-1,talk,natsuno,あ、そだ
sub-natsuno1-1,talk,natsuno,なんか、料理本とかある？
sub-natsuno1-1,talk,natsuno,それ見たら、ちょっとはやる気出るかも
sub-natsuno1-1,talk,natsuno,ある？
sub-natsuno1-1,waitCall,yes,input_any,input_any
sub-natsuno1-1,label,input_any
sub-natsuno1-1,talk,natsuno,......
sub-natsuno1-1,talk,natsuno,......や
sub-natsuno1-1,talk,natsuno,......やっぱいいや
sub-natsuno1-1,talk,natsuno,どうせ、軽量カップとかないし
sub-natsuno1-1,talk,natsuno,見たって、ちゃんとできないや
sub-natsuno1-1,talk,natsuno,あーあ
sub-natsuno1-1,talk,natsuno,こんななら、ちゃんと母さんの手伝いとか、しとけばよかったかも
sub-natsuno1-1,talk,natsuno,こんな状況になって、一人きりになって、初めてちゃんと料理とかしたから
sub-natsuno1-1,talk,natsuno,全部、自分流なんだよね
sub-natsuno1-1,talk,natsuno,あんま、おいしくない
sub-natsuno1-1,talk,natsuno,......もう慣れちゃったけど
sub-natsuno1-1,talk,natsuno,......
sub-natsuno1-1,talk,natsuno,......ま
sub-natsuno1-1,fg,survivor00,right-right,0.5,serious
sub-natsuno1-1,talk,natsuno,こんなことになるなんて......
sub-natsuno1-1,talk,natsuno,どんなにがんばっても、想像できなかっただろうけど
sub-natsuno1-1,end,questSuccess,
-,,,
sub-kiko1-1,fgClear
sub-kiko1-1,bg,scenario00
sub-kiko1-1,playBgm,character01
sub-kiko1-1,talk,kiko,......
sub-kiko1-1,talk,kiko,......あの
sub-kiko1-1,fg,survivor01,right-right,0.5
sub-kiko1-1,talk,kiko,......き、聞こえてます？
sub-kiko1-1,talk,kiko,ナツノさん、どこか行っちゃったみたいで......
sub-kiko1-1,talk,kiko,テーブルの上にスマホだけあって......
sub-kiko1-1,talk,kiko,......それで
sub-kiko1-1,talk,kiko,......
sub-kiko1-1,talk,kiko,............
sub-kiko1-1,talk,kiko,........................
sub-kiko1-1,talk,kiko,......あの
sub-kiko1-1,talk,kiko,どこか、遠く......こんなことになってない、平和なところにいるんだって聞きました
sub-kiko1-1,talk,kiko,ナツノさんから
sub-kiko1-1,talk,kiko,それで......
sub-kiko1-1,talk,kiko,......ペット、飼ってたりしますか？
sub-kiko1-1,waitCall,yes,input_yes,input_no
sub-kiko1-1,label,input_yes
sub-kiko1-1,talk,kiko,！！
sub-kiko1-1,fg,survivor01,right-right,0.5,smile
sub-kiko1-1,talk,kiko,そうなんですね......
sub-kiko1-1,talk,kiko,いいなぁ......
sub-kiko1-1,talk,kiko,......
