id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
sub-meguru1-1,bg,scenario16
sub-meguru1-1,playBgm,environment01
sub-meguru1-1,talk,natsuno,......え
sub-meguru1-1,talk,natsuno,......
sub-meguru1-1,talk,natsuno,......どうしよ
sub-meguru1-1,fg,survivor00,right-right,0.5,zito
sub-meguru1-1,talk,natsuno,なんか
sub-meguru1-1,talk,natsuno,変な人が、こっち向かって歩いてくる......
sub-meguru1-1,talk,natsuno,......めっちゃ笑顔......
sub-meguru1-1,talk,???,......
sub-meguru1-1,talk,???,............
sub-meguru1-1,fg,survivor04,right-left,1.0,smile,mask
sub-meguru1-1,talk,???,........................
sub-meguru1-1,talk,???,......ちわ
sub-meguru1-1,fg,survivor00,right-right,0.5,default
sub-meguru1-1,talk,natsuno,......？
sub-meguru1-1,talk,???,......ちわ！
sub-meguru1-1,talk,???,......
sub-meguru1-1,talk,natsuno,......
sub-meguru1-1,fg,survivor04,right-left,1.0,default,mask
sub-meguru1-1,talk,???,......
sub-meguru1-1,talk,???,............
sub-meguru1-1,talk,???,........................
sub-meguru1-1,fg,survivor04,right-left,0.5,sad,mask
sub-meguru1-1,talk,???,......えー
sub-meguru1-1,pauseBgm
sub-meguru1-1,talk,???,......無視......？
sub-meguru1-1,talk,???,......
sub-meguru1-1,fg,survivor04,right-left,0.5,depress,mask
sub-meguru1-1,talk,???,無視......っすか......
sub-meguru1-1,talk,???,......つら
sub-meguru1-1,talk,???,むりだ
sub-meguru1-1,talk,???,もうむりだ
sub-meguru1-1,talk,???,まぢむり
sub-meguru1-1,talk,???,消えてなくなりたい
sub-meguru1-1,fg,survivor04,right-left,0.5,despair,mask
sub-meguru1-1,talk,???,生まれ変わったら、来世はミカヅキモにしてください
sub-meguru1-1,talk,???,さようなら
sub-meguru1-1,fgRemove,survivor04,1.0
sub-meguru1-1,fg,survivor00,right-right,0.5,zito
sub-meguru1-1,talk,natsuno,......
sub-meguru1-1,talk,natsuno,......えっと
